date_stamp,ca_provterr,ca_covid19_geo,cnt_confirmed,cnt_probable,cnt_death,cnt_total,cnt_total_new,pct_total_new,cnt_tested,cnt_recovered,pct_recovered
2020-01-31,35,35,3,0,0,3,3,300.0,0,0,
2020-01-31,59,59,1,0,0,1,1,100.0,0,0,
2020-02-08,35,35,3,0,0,3,0,0.0,0,0,
2020-02-08,59,59,4,0,0,4,3,300.0,0,0,
2020-02-16,35,35,3,0,0,3,0,0.0,0,0,
2020-02-16,59,59,5,0,0,5,1,25.0,0,0,
2020-02-21,35,35,3,0,0,3,0,0.0,0,0,
2020-02-21,59,59,6,0,0,6,1,20.0,0,0,
2020-02-24,35,35,4,0,0,4,1,33.33,0,0,
2020-02-24,59,59,6,0,0,6,0,0.0,0,0,
2020-02-25,35,35,4,0,0,4,0,0.0,0,0,
2020-02-25,59,59,7,0,0,7,1,16.67,0,0,
2020-02-26,35,35,5,0,0,5,1,25.0,0,0,
2020-02-26,59,59,7,0,0,7,0,0.0,0,0,
2020-02-27,35,35,6,0,0,6,1,20.0,0,0,
2020-02-27,59,59,7,0,0,7,0,0.0,0,0,
2020-02-29,35,35,8,0,0,8,2,33.33,0,0,
2020-02-29,59,59,7,0,0,7,0,0.0,0,0,
2020-03-01,35,35,15,0,0,15,7,87.5,0,0,
2020-03-01,59,59,8,0,0,8,1,14.29,0,0,
2020-03-01,24,24,1,0,0,1,1,100.0,0,0,
2020-03-03,35,35,20,0,0,20,5,33.33,0,0,
2020-03-03,59,59,12,0,0,12,4,50.0,0,0,
2020-03-03,24,24,1,0,0,1,0,0.0,0,0,
2020-03-05,35,35,22,0,0,22,2,10.0,0,0,
2020-03-05,59,59,21,0,0,21,9,75.0,0,0,
2020-03-05,24,24,2,0,0,2,1,100.0,0,0,
2020-03-06,35,35,28,0,0,28,6,27.27,0,0,
2020-03-06,59,59,21,0,0,21,0,0.0,0,0,
2020-03-06,24,24,2,0,0,2,0,0.0,0,0,
2020-03-07,35,35,28,0,0,28,0,0.0,0,0,
2020-03-07,59,59,27,0,0,27,6,28.57,0,0,
2020-03-07,24,24,2,0,0,2,0,0.0,0,0,
2020-03-08,35,35,31,0,0,31,3,10.71,0,0,
2020-03-08,59,59,27,0,1,27,0,0.0,0,0,
2020-03-08,24,24,3,0,0,3,1,50.0,0,0,
2020-03-08,48,48,1,0,0,1,1,100.0,0,0,
2020-03-09,35,35,34,0,0,34,3,9.68,0,0,
2020-03-09,59,59,32,0,1,32,5,18.52,0,0,
2020-03-09,24,24,4,0,0,4,1,33.33,0,0,
2020-03-09,48,48,7,0,0,7,6,600.0,0,0,
2020-03-11,35,35,42,0,1,42,8,23.53,3394,0,
2020-03-11,59,59,39,0,1,39,7,21.88,4373,0,
2020-03-11,24,24,7,0,0,7,3,75.0,556,0,
2020-03-11,48,48,14,0,0,14,7,100.0,1969,0,
2020-03-11,,99,1,0,0,1,1,100.0,29,0,
2020-03-11,47,47,0,0,0,0,0,0.0,204,0,
2020-03-11,46,46,0,0,0,0,0,0.0,352,0,
2020-03-11,13,13,0,0,0,0,0,0.0,22,0,
2020-03-11,10,10,0,0,0,0,0,0.0,44,0,
2020-03-11,12,12,0,0,0,0,0,0.0,103,0,
2020-03-11,11,11,0,0,0,0,0,0.0,6,0,
2020-03-11,60,60,0,0,0,0,0,0.0,0,0,
2020-03-11,61,61,0,0,0,0,0,0.0,0,0,
2020-03-11,62,62,0,0,0,0,0,0.0,0,0,
2020-03-12,59,59,46,0,1,46,7,17.95,5195,0,
2020-03-12,48,48,19,0,0,19,5,35.71,4109,0,
2020-03-12,47,47,0,1,0,1,1,0.0,285,0,
2020-03-12,46,46,0,1,0,1,1,0.0,352,0,
2020-03-12,35,35,59,0,1,59,17,40.48,4185,0,
2020-03-12,24,24,13,0,0,13,6,85.71,740,0,
2020-03-12,13,13,0,1,0,1,1,0.0,44,0,
2020-03-12,10,10,0,0,0,0,0,0.0,52,0,
2020-03-12,12,12,0,0,0,0,0,0.0,182,0,
2020-03-12,11,11,0,0,0,0,0,0.0,6,0,
2020-03-12,61,61,0,0,0,0,0,0.0,34,0,
2020-03-12,62,62,0,0,0,0,0,0.0,1,0,
2020-03-12,,99,1,0,0,1,0,0.0,29,0,
2020-03-12,60,60,0,0,0,0,0,0.0,0,0,
2020-03-13,59,59,53,0,1,53,7,15.22,5195,0,
2020-03-13,48,48,23,0,0,23,4,21.05,4109,0,
2020-03-13,47,47,0,1,0,1,0,0.0,285,0,
2020-03-13,46,46,1,2,0,3,2,200.0,352,0,
2020-03-13,35,35,79,0,1,79,20,33.9,4185,0,
2020-03-13,24,24,17,0,0,17,4,30.77,740,0,
2020-03-13,11,11,0,0,0,0,0,0.0,6,0,
2020-03-13,10,10,0,0,0,0,0,0.0,52,0,
2020-03-13,13,13,1,0,0,1,0,0.0,44,0,
2020-03-13,12,12,0,0,0,0,0,0.0,182,0,
2020-03-13,,99,2,0,2,2,1,100.0,29,0,
2020-03-13,60,60,0,0,0,0,0,0.0,0,0,
2020-03-13,61,61,0,0,0,0,0,0.0,34,0,
2020-03-13,62,62,0,0,0,0,0,0.0,1,0,
2020-03-14,59,59,64,0,1,64,11,20.75,7033,0,
2020-03-14,48,48,29,0,0,29,6,26.09,5247,0,
2020-03-14,47,47,0,2,0,2,1,100.0,349,0,
2020-03-14,46,46,1,3,0,4,1,33.33,837,0,
2020-03-14,35,35,79,0,1,79,0,0.0,6646,0,
2020-03-14,24,24,17,0,0,17,0,0.0,1584,0,
2020-03-14,13,13,1,1,0,2,1,100.0,82,0,
2020-03-14,10,10,0,0,0,0,0,0.0,62,0,
2020-03-14,12,12,0,0,0,0,0,0.0,481,0,
2020-03-14,11,11,0,0,0,0,0,0.0,6,0,
2020-03-14,60,60,0,0,0,0,0,0.0,0,0,
2020-03-14,61,61,0,0,0,0,0,0.0,76,0,
2020-03-14,62,62,0,0,0,0,0,0.0,6,0,
2020-03-14,,99,2,0,0,2,0,0.0,29,0,
2020-03-15,59,59,73,0,1,73,9,14.06,7033,0,
2020-03-15,48,48,39,0,0,39,10,34.48,5247,0,
2020-03-15,47,47,0,2,0,2,0,0.0,349,0,
2020-03-15,46,46,4,0,0,4,0,0.0,837,0,
2020-03-15,35,35,103,0,1,103,24,30.38,8461,0,
2020-03-15,24,24,24,0,0,24,7,41.18,2337,0,
2020-03-15,10,10,0,1,0,1,1,0.0,62,0,
2020-03-15,13,13,1,1,0,2,0,0.0,82,0,
2020-03-15,11,11,1,0,0,1,1,0.0,6,0,
2020-03-15,12,12,0,0,0,0,0,0.0,481,0,
2020-03-15,60,60,0,0,0,0,0,0.0,0,0,
