pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
35,Ontario,Ontario,31-01-2020,,3,0.0,0,3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,3,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,31-01-2020,,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,31-01-2020,,4,0.0,0,4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.01,0.0,0,0.0,0.0,0,0,100.0,4,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,Ontario,Ontario,08-02-2020,,3,0.0,0,3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,3,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,08-02-2020,,4,0.0,0,4,0.0,63,0,0.0,0.0,12.08,3,75.0,0.08,0.0,0,0.0,0.0,63,0,100.0,4,0.08,3,0.06,0,0.0,3,0.06,0,0.0,0.43,0.01,0.0,0.0,0.0
1,Canada,Canada,08-02-2020,,7,0.0,0,7,0.0,63,0,0.0,0.0,1.65,3,42.86,0.02,0.0,0,0.0,0.0,63,0,100.0,7,0.02,3,0.01,0,0.0,3,0.01,0,0.0,0.43,0.0,0.0,0.0,0.0
35,Ontario,Ontario,16-02-2020,,3,0.0,0,3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,3,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,16-02-2020,,5,0.0,0,5,0.0,109,0,0.0,0.0,20.9,1,20.0,0.1,0.0,0,0.0,0.0,46,0,100.0,5,0.1,4,0.08,0,0.0,4,0.08,0,0.0,0.57,0.01,0.0,0.0,0.0
1,Canada,Canada,16-02-2020,,8,0.0,0,8,0.0,109,0,0.0,0.0,2.85,1,12.5,0.02,0.0,0,0.0,0.0,46,0,100.0,8,0.02,4,0.01,0,0.0,4,0.01,0,0.0,0.57,0.0,0.0,0.0,0.0
35,Ontario,Ontario,21-02-2020,,3,0.0,0,3,0.0,0,0,0.0,0.0,0.0,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,3,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,21-02-2020,,6,0.0,0,6,0.0,166,0,0.0,0.0,31.83,1,16.67,0.12,0.0,0,0.0,0.0,57,0,100.0,6,0.12,5,0.1,0,0.0,5,0.1,0,0.0,0.71,0.01,0.0,0.0,0.0
1,Canada,Canada,21-02-2020,,9,0.0,0,9,0.0,166,0,0.0,0.0,4.34,1,11.11,0.02,0.0,0,0.0,0.0,57,0,100.0,9,0.02,5,0.01,0,0.0,5,0.01,0,0.0,0.71,0.0,0.0,0.0,0.0
35,Ontario,Ontario,24-02-2020,,4,0.0,0,4,0.0,0,0,0.0,0.0,0.0,1,25.0,0.03,0.0,0,0.0,0.0,0,0,100.0,4,0.03,1,0.01,0,0.0,1,0.01,0,0.0,0.14,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,24-02-2020,,6,0.0,0,6,0.0,212,0,0.0,0.0,40.65,0,0.0,0.12,0.0,0,0.0,0.0,46,0,100.0,6,0.12,5,0.1,0,0.0,5,0.1,0,0.0,0.71,0.01,0.0,0.0,0.0
1,Canada,Canada,24-02-2020,,10,0.0,0,10,0.0,212,0,0.0,0.0,5.54,1,10.0,0.03,0.0,0,0.0,0.0,46,0,100.0,10,0.03,6,0.02,0,0.0,6,0.02,0,0.0,0.86,0.0,0.0,0.0,0.0
35,Ontario,Ontario,25-02-2020,,4,0.0,0,4,0.0,0,0,0.0,0.0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0,100.0,4,0.03,1,0.01,0,0.0,1,0.01,0,0.0,0.14,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,25-02-2020,,7,0.0,0,7,0.0,230,0,0.0,0.0,44.11,1,14.29,0.13,0.0,0,0.0,0.0,18,0,100.0,7,0.13,6,0.12,0,0.0,6,0.12,0,0.0,0.86,0.02,0.0,0.0,0.0
1,Canada,Canada,25-02-2020,,11,0.0,0,11,0.0,230,0,0.0,0.0,6.01,1,9.09,0.03,0.0,0,0.0,0.0,18,0,100.0,11,0.03,7,0.02,0,0.0,7,0.02,0,0.0,1.0,0.0,0.0,0.0,0.0
35,Ontario,Ontario,26-02-2020,,5,0.0,0,5,0.0,0,0,0.0,0.0,0.0,1,20.0,0.03,0.0,0,0.0,0.0,0,0,100.0,5,0.03,2,0.01,0,0.0,2,0.01,0,0.0,0.29,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,26-02-2020,,7,0.0,0,7,0.0,292,0,0.0,0.0,55.99,0,0.0,0.13,0.0,0,0.0,0.0,62,0,100.0,7,0.13,6,0.12,0,0.0,6,0.12,0,0.0,0.86,0.02,0.0,0.0,0.0
