date_stamp,ca_provterr,ca_covid19_geo,cnt_confirmed,cnt_probable,cnt_death,cnt_total,cnt_total_new,pct_total_new,cnt_tested,cnt_recovered,pct_recovered
2020-01-31,35,35,3,0,0,3,3,3.0,0,0,
2020-01-31,59,59,1,0,0,1,1,1.0,0,0,
2020-02-08,35,35,3,0,0,3,0,0.0,0,0,
2020-02-08,59,59,4,0,0,4,3,3.0,0,0,
2020-02-16,35,35,3,0,0,3,0,0.0,0,0,
2020-02-16,59,59,5,0,0,5,1,0.25,0,0,
2020-02-21,35,35,3,0,0,3,0,0.0,0,0,
2020-02-21,59,59,6,0,0,6,1,0.2,0,0,
2020-02-24,35,35,4,0,0,4,1,0.333,0,0,
2020-02-24,59,59,6,0,0,6,0,0.0,0,0,
2020-02-25,35,35,4,0,0,4,0,0.0,0,0,
2020-02-25,59,59,7,0,0,7,1,0.167,0,0,
2020-02-26,35,35,5,0,0,5,1,0.25,0,0,
2020-02-26,59,59,7,0,0,7,0,0.0,0,0,
2020-02-27,35,35,6,0,0,6,1,0.2,0,0,
2020-02-27,59,59,7,0,0,7,0,0.0,0,0,
2020-02-29,35,35,8,0,0,8,2,0.333,0,0,
2020-02-29,59,59,7,0,0,7,0,0.0,0,0,
2020-03-01,35,35,15,0,0,15,7,0.875,0,0,
2020-03-01,59,59,8,0,0,8,1,0.143,0,0,
2020-03-01,24,24,1,0,0,1,1,1.0,0,0,
2020-03-03,35,35,20,0,0,20,5,0.333,0,0,
2020-03-03,59,59,12,0,0,12,4,0.5,0,0,
2020-03-03,24,24,1,0,0,1,0,0.0,0,0,
2020-03-05,35,35,22,0,0,22,2,0.1,0,0,
2020-03-05,59,59,21,0,0,21,9,0.75,0,0,
2020-03-05,24,24,2,0,0,2,1,1.0,0,0,
2020-03-06,35,35,28,0,0,28,6,0.273,0,0,
2020-03-06,59,59,21,0,0,21,0,0.0,0,0,
2020-03-06,24,24,2,0,0,2,0,0.0,0,0,
2020-03-07,35,35,28,0,0,28,0,0.0,0,0,
2020-03-07,59,59,27,0,0,27,6,0.286,0,0,
2020-03-07,24,24,2,0,0,2,0,0.0,0,0,
2020-03-08,35,35,31,0,0,31,3,0.107,0,0,
2020-03-08,59,59,27,0,0,27,0,0.0,0,0,
2020-03-08,24,24,3,0,0,3,1,0.5,0,0,
2020-03-08,48,48,1,0,0,1,1,1.0,0,0,
2020-03-09,35,35,34,0,0,34,3,0.097,0,0,
2020-03-09,59,59,32,0,0,32,5,0.185,0,0,
2020-03-09,24,24,4,0,0,4,1,0.333,0,0,
2020-03-09,48,48,7,0,0,7,6,6.0,0,0,
2020-03-11,35,35,42,0,0,42,8,0.235,3394,0,
2020-03-11,59,59,39,0,0,39,7,0.219,4373,0,
2020-03-11,24,24,7,0,0,7,3,0.75,556,0,
2020-03-11,48,48,14,0,0,14,7,1.0,1969,0,
2020-03-11,,99,1,0,0,1,1,1.0,0,0,
2020-03-11,47,47,0,0,0,0,0,0.0,204,0,
2020-03-11,46,46,0,0,0,0,0,0.0,352,0,
2020-03-11,13,13,0,0,0,0,0,0.0,22,0,
2020-03-11,10,10,0,0,0,0,0,0.0,44,0,
2020-03-11,12,12,0,0,0,0,0,0.0,103,0,
2020-03-11,11,11,0,0,0,0,0,0.0,6,0,
2020-03-11,60,60,0,0,0,0,0,0.0,0,0,
