Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
12/03/2022,Albany,34,75849,612,1408828,5.72%,COUNTY
12/03/2022,Allegany,4,10444,92,249681,3.49%,COUNTY
12/03/2022,Bronx,366,485091,4455,8905072,7.71%,COUNTY
12/03/2022,Broome,32,56570,508,1189134,5.95%,COUNTY
12/03/2022,Capital Region,111,274465,2234,5279827,4.83%,REGION
12/03/2022,Cattaraugus,3,18699,102,308758,1.18%,COUNTY
12/03/2022,Cayuga,6,19704,130,397399,4.84%,COUNTY
12/03/2022,Central New York,45,220383,1214,4422975,3.51%,REGION
12/03/2022,Chautauqua,9,28476,117,531362,9.47%,COUNTY
12/03/2022,Chemung,13,25920,311,485602,4.56%,COUNTY
12/03/2022,Chenango,8,11470,111,238224,3.66%,COUNTY
12/03/2022,Clinton,24,21647,206,406671,13.16%,COUNTY
12/03/2022,Columbia,6,13169,66,253667,9.38%,COUNTY
12/03/2022,Cortland,9,12893,109,307891,7.48%,COUNTY
12/03/2022,Delaware,5,9728,98,201419,5.10%,COUNTY
12/03/2022,Dutchess,53,80544,521,1488595,10.43%,COUNTY
12/03/2022,Erie,70,260019,1150,4243220,5.86%,COUNTY
12/03/2022,Essex,2,7364,97,165916,1.32%,COUNTY
12/03/2022,Finger Lakes,131,293007,3173,5657298,4.04%,REGION
12/03/2022,Franklin,1,11706,97,218892,1.19%,COUNTY
12/03/2022,Fulton,7,16025,133,232126,5.51%,COUNTY
12/03/2022,Genesee,6,16092,145,275876,3.47%,COUNTY
12/03/2022,Greene,7,10476,68,181932,10.45%,COUNTY
12/03/2022,Hamilton,0,1057,12,20337,0.00%,COUNTY
12/03/2022,Herkimer,22,16925,161,327736,1.33%,COUNTY
12/03/2022,Jefferson,7,25793,159,410167,3.20%,COUNTY
12/03/2022,Kings,679,868641,8941,18820557,7.33%,COUNTY
12/03/2022,Lewis,5,7105,77,104648,11.11%,COUNTY
12/03/2022,Livingston,6,13937,157,286773,3.87%,COUNTY
12/03/2022,Long Island,813,1059027,9591,17011203,7.88%,REGION
12/03/2022,Madison,6,16295,86,373560,5.00%,COUNTY
12/03/2022,Mid-Hudson,440,738682,5610,13488622,7.46%,REGION
12/03/2022,Mohawk Valley,67,133267,894,2752236,4.70%,REGION
12/03/2022,Monroe,94,185184,1836,3674984,5.04%,COUNTY
12/03/2022,Montgomery,6,14534,69,224218,8.82%,COUNTY
12/03/2022,Nassau,408,521011,4760,8458503,7.97%,COUNTY
12/03/2022,New York,472,559231,6749,14526812,6.90%,COUNTY
12/03/2022,New York City,2282,2937045,29216,60784289,7.55%,REGION
12/03/2022,Niagara,18,57769,233,906969,7.04%,COUNTY
12/03/2022,North Country,49,100252,853,1949044,5.93%,REGION
12/03/2022,Oneida,21,66654,355,1532595,3.19%,COUNTY
12/03/2022,Onondaga,19,138133,674,2808934,2.75%,COUNTY
12/03/2022,Ontario,9,25108,318,483629,2.94%,COUNTY
12/03/2022,Orange,72,132108,986,1981372,7.19%,COUNTY
12/03/2022,Orleans,3,10190,80,159125,2.53%,COUNTY
12/03/2022,Oswego,5,33358,215,535191,2.49%,COUNTY
12/03/2022,Otsego,7,12784,109,313534,6.60%,COUNTY
12/03/2022,Putnam,24,29965,287,493892,8.78%,COUNTY
12/03/2022,Queens,663,822087,7456,14826879,8.77%,COUNTY
12/03/2022,Rensselaer,7,40346,257,879427,2.75%,COUNTY
12/03/2022,Richmond,102,201995,1615,3704969,5.39%,COUNTY
12/03/2022,Rockland,53,113174,830,2375272,5.74%,COUNTY
12/03/2022,STATEWIDE,4140,6303260,56258,123577208,6.99%,STATEWIDE
12/03/2022,Saratoga,23,59276,478,1082002,4.05%,COUNTY
12/03/2022,Schenectady,17,42068,305,841748,4.76%,COUNTY
12/03/2022,Schoharie,4,6345,67,122027,6.15%,COUNTY
12/03/2022,Schuyler,1,4232,41,100267,0.00%,COUNTY
12/03/2022,Seneca,1,7365,87,140313,1.22%,COUNTY
12/03/2022,Southern Tier,98,171725,1779,5991724,5.31%,REGION
12/03/2022,St. Lawrence,10,25580,205,622413,4.98%,COUNTY
12/03/2022,Steuben,13,24560,369,479361,3.50%,COUNTY
12/03/2022,Suffolk,405,538016,4831,8552700,7.79%,COUNTY
12/03/2022,Sullivan,7,23374,170,380032,3.25%,COUNTY
