date_stamp,resource_type,cnt_used,cnt_capacity,cnt_available,pct_used,pct_available
2020-06-03,0,2257,3202,882,70.50,29.50
2020-06-03,1,191,272,81,70.20,29.80
2020-06-03,2,65,242,177,26.90,73.10
2020-06-05,0,2257,3202,882,70.50,29.50
2020-06-05,1,191,272,81,70.20,29.80
2020-06-05,2,65,242,177,26.90,73.10
2020-06-06,0,2457,3202,745,76.70,23.30
2020-06-06,1,238,272,34,87.50,12.50
2020-06-06,2,74,242,168,30.60,69.40
2020-06-07,0,2457,3202,745,76.70,23.30
2020-06-07,1,238,272,34,87.50,12.50
2020-06-07,2,74,242,168,30.60,69.40
2020-06-08,0,2457,3202,745,76.70,23.30
2020-06-08,1,238,272,34,87.50,12.50
2020-06-08,2,74,242,168,30.60,69.40
2020-06-09,0,2457,3202,745,76.70,23.30
2020-06-09,1,238,272,34,87.50,12.50
2020-06-09,2,74,242,168,30.60,69.40
2020-06-10,0,2457,3202,745,76.70,23.30
2020-06-10,1,238,272,34,87.50,12.50
2020-06-10,2,74,242,168,30.60,69.40
2020-06-11,0,2457,3202,745,76.70,23.30
2020-06-11,1,238,272,34,87.50,12.50
2020-06-11,2,74,242,168,30.60,69.40
2020-06-12,0,2457,3202,745,76.70,23.30
2020-06-12,1,238,272,34,87.50,12.50
2020-06-12,2,74,242,168,30.60,69.40
2020-06-13,0,2378,3202,824,74.30,25.70
2020-06-13,1,243,272,29,89.30,10.70
2020-06-13,2,90,242,152,37.20,62.80
2020-06-14,0,2378,3202,824,74.30,25.70
2020-06-14,1,243,272,29,89.30,10.70
2020-06-14,2,90,242,152,37.20,62.80
2020-06-15,0,2378,3202,824,74.30,25.70
2020-06-15,1,243,272,29,89.30,10.70
2020-06-15,2,90,242,152,37.20,62.80
2020-06-16,0,2378,3202,824,74.30,25.70
2020-06-16,1,243,272,29,89.30,10.70
2020-06-16,2,90,242,152,37.20,62.80
2020-06-17,0,2378,3202,824,74.30,25.70
2020-06-17,1,243,272,29,89.30,10.70
2020-06-17,2,90,242,152,37.20,62.80
2020-06-18,0,2378,3202,824,74.30,25.70
2020-06-18,1,243,272,29,89.30,10.70
2020-06-18,2,90,242,152,37.20,62.80
2020-06-19,0,2378,3202,824,74.30,25.70
2020-06-19,1,243,272,29,89.30,10.70
2020-06-19,2,90,242,152,37.20,62.80
2020-06-20,0,2369,3186,817,74.40,25.60
2020-06-20,1,250,272,22,91.90,8.10
2020-06-20,2,80,242,162,33.10,62.90
2020-06-21,0,2369,3186,817,74.40,25.60
2020-06-21,1,250,272,22,91.90,8.10
2020-06-21,2,80,242,162,33.10,62.90
2020-06-22,0,2369,3186,817,74.40,25.60
2020-06-22,1,250,272,22,91.90,8.10
2020-06-22,2,80,242,162,33.10,62.90
2020-06-23,0,2369,3186,817,74.40,25.60
2020-06-23,1,250,272,22,91.90,8.10
2020-06-23,2,80,242,162,33.10,62.90
2020-06-24,0,2369,3186,817,74.40,25.60
2020-06-24,1,250,272,22,91.90,8.10
2020-06-24,2,80,242,162,33.10,62.90
2020-06-25,0,2369,3186,817,74.40,25.60
2020-06-25,1,250,272,22,91.90,8.10
2020-06-25,2,80,242,162,33.10,62.90
2020-06-26,0,2369,3186,817,74.40,25.60
2020-06-26,1,250,272,22,91.90,8.10
2020-06-26,2,80,242,162,33.10,62.90
2020-06-27,0,2430,3186,756,76.30,23.70
2020-06-27,1,233,272,39,85.70,14.30
2020-06-27,2,78,242,164,32.20,67.80
2020-06-28,0,2430,3186,756,76.30,23.70
2020-06-28,1,233,272,39,85.70,14.30
2020-06-28,2,78,242,164,32.20,67.80
2020-06-29,0,2430,3186,756,76.30,23.70
2020-06-29,1,233,272,39,85.70,14.30
2020-06-29,2,78,242,164,32.20,67.80
2020-06-30,0,2430,3186,756,76.30,23.70
2020-06-30,1,233,272,39,85.70,14.30
2020-06-30,2,78,242,164,32.20,67.80
2020-07-01,0,2430,3186,756,76.30,23.70
2020-07-01,1,233,272,39,85.70,14.30
2020-07-01,2,78,242,164,32.20,67.80
2020-07-02,0,2476,3186,710,77.70,22.30
2020-07-02,1,242,272,30,89.00,11.00
2020-07-02,2,92,242,150,38.00,62.00
2020-07-03,0,2476,3186,710,77.70,22.30
2020-07-03,1,242,272,30,89.00,11.00
2020-07-03,2,92,242,150,38.00,62.00
2020-07-04,0,2476,3186,710,77.70,22.30
2020-07-04,1,242,272,30,89.00,11.00
2020-07-04,2,92,242,150,38.00,62.00
2020-07-05,0,2476,3186,710,77.70,22.30
2020-07-05,1,242,272,30,89.00,11.00
2020-07-05,2,92,242,150,38.00,62.00
2020-07-06,0,2476,3186,710,77.70,22.30
2020-07-06,1,242,272,30,89.00,11.00
2020-07-06,2,92,242,150,38.00,62.00
2020-07-07,0,2476,3186,710,77.70,22.30
2020-07-07,1,242,272,30,89.00,11.00
2020-07-07,2,92,242,150,38.00,62.00
2020-07-08,0,2476,3186,710,77.70,22.30
2020-07-08,1,242,272,30,89.00,11.00
2020-07-08,2,92,242,150,38.00,62.00
2020-07-09,0,2534,3186,652,79.50,20.50
2020-07-09,1,251,272,21,92.30,7.70
2020-07-09,2,98,242,144,40.50,59.50
2020-07-10,0,2534,3186,652,79.50,20.50
2020-07-10,1,251,272,21,92.30,7.70
2020-07-10,2,98,242,144,40.50,59.50
2020-07-11,0,2534,3186,652,79.50,20.50
2020-07-11,1,251,272,21,92.30,7.70
