date_stamp,sex,cnt_confirmed,pct_confirmed
2020-06-03,1,238,53.97
2020-06-03,2,201,45.58
2020-06-03,9,2,0.46
2020-06-05,1,250,54.00
2020-06-05,2,212,45.79
2020-06-05,9,1,0.22
2020-06-06,1,216,45.86
2020-06-06,2,253,53.72
2020-06-06,9,2,0.43
2020-06-07,1,256,54.01
2020-06-07,2,217,45.78
2020-06-07,9,1,0.22
2020-06-08,1,264,54.21
2020-06-08,2,222,45.59
2020-06-08,9,1,0.21
2020-06-09,1,273,54.17
2020-06-09,2,229,45.44
2020-06-09,9,2,0.40
2020-06-10,1,277,54.00
2020-06-10,2,235,45.81
2020-06-10,9,1,0.20
2020-06-11,1,285,53.88
2020-06-11,2,241,45.56
2020-06-11,9,3,0.58
2020-06-12,1,287,53.45
2020-06-12,2,248,46.18
2020-06-12,9,2,0.38
2020-06-13,1,298,53.31
2020-06-13,2,258,46.15
2020-06-13,9,1,0.18
2020-06-14,1,306,53.31
2020-06-14,2,263,45.82
2020-06-14,9,5,0.90
2020-06-15,1,313,53.32
2020-06-15,2,269,45.83
2020-06-15,9,5,0.88
2020-06-16,1,315,53.12
2020-06-16,2,273,46.04
2020-06-16,9,5,0.87
2020-06-17,1,324,53.11
2020-06-17,2,280,45.90
2020-06-17,9,6,1.02
2020-06-18,1,329,53.32
2020-06-18,2,282,45.71
2020-06-18,9,6,1.01
2020-06-19,1,337,52.90
2020-06-19,2,292,45.84
2020-06-19,9,8,1.31
2020-06-20,1,360,54.71
2020-06-20,2,298,45.29
2020-06-20,9,0,0.00
2020-06-21,1,361,54.20
2020-06-21,2,301,45.20
2020-06-21,9,0,0.00
2020-06-22,1,370,54.33
2020-06-22,2,305,44.79
2020-06-22,9,6,0.91
2020-06-23,1,313,44.33
2020-06-23,2,390,55.24
2020-06-23,9,3,0.44
2020-06-24,1,407,54.93
2020-06-24,2,331,44.67
2020-06-24,9,3,0.42
2020-06-25,1,413,54.49
2020-06-25,2,343,45.25
2020-06-25,9,2,0.27
2020-06-26,1,435,54.51
2020-06-26,2,360,45.11
2020-06-26,9,3,0.39
2020-06-27,1,452,54.20
2020-06-27,2,376,45.08
2020-06-27,9,6,0.74
2020-06-28,1,465,53.39
2020-06-28,2,402,46.15
2020-06-28,9,4,0.47
2020-06-29,1,475,53.49
2020-06-29,2,410,46.17
2020-06-29,9,3,0.35
2020-06-30,1,500,53.13
2020-06-30,2,432,45.91
2020-06-30,9,9,0.99
2020-07-01,1,515,53.87
2020-07-01,2,439,45.92
2020-07-01,9,2,0.22
2020-07-02,1,545,54.17
2020-07-02,2,461,45.83
2020-07-02,9,2,0.20
2020-07-03,1,585,54.42
2020-07-03,2,489,45.49
2020-07-03,9,1,0.10
2020-07-04,1,607,54.15
2020-07-04,2,510,45.50
2020-07-04,9,4,0.37
2020-07-05,1,645,53.04
2020-07-05,2,556,45.72
2020-07-05,9,15,1.26
2020-07-06,1,660,53.48
2020-07-06,2,563,45.62
2020-07-06,9,11,0.91
2020-07-07,1,698,52.64
2020-07-07,2,600,45.25
2020-07-07,9,28,2.16
2020-07-08,1,736,52.72
2020-07-08,2,635,45.49
2020-07-08,9,25,1.83
2020-07-09,1,754,52.00
2020-07-09,2,663,45.72
2020-07-09,9,33,2.32
2020-07-10,1,821,52.33
2020-07-10,2,727,46.34
2020-07-10,9,21,1.38
2020-07-11,1,841,51.98
2020-07-11,2,754,46.60
2020-07-11,9,23,1.47
2020-07-12,1,849,51.71
2020-07-12,2,771,46.95
2020-07-12,9,22,1.39
2020-07-13,1,874,51.69
2020-07-13,2,794,46.95
2020-07-13,9,23,1.41
2020-07-14,1,940,51.79
2020-07-14,2,851,46.89
2020-07-14,9,25,1.43
2020-07-15,1,983,52.12
2020-07-15,2,879,46.61
2020-07-15,9,24,1.32
2020-07-16,1,1032,51.91
2020-07-16,2,936,47.08
2020-07-16,9,21,1.10
2020-07-17,1,1112,51.99
2020-07-17,2,1000,46.75
2020-07-17,9,27,1.32
2020-07-18,1,1173,52.11
2020-07-18,2,1048,46.56
2020-07-18,9,30,1.39
2020-07-19,1,1205,52.05
2020-07-19,2,1081,46.70
2020-07-19,9,29,1.31
2020-07-20,1,1245,51.30
2020-07-20,2,1149,47.34
2020-07-20,9,33,1.43
2020-07-21,1,1280,51.06
2020-07-21,2,1192,47.55
2020-07-21,9,35,1.46
2020-07-22,1,1340,50.91
2020-07-22,2,1258,47.80
2020-07-22,9,34,1.35
2020-07-23,1,1433,50.74
2020-07-23,2,1349,47.77
2020-07-23,9,42,1.55
2020-07-24,1,1510,50.89
2020-07-24,2,1421,47.89
2020-07-24,9,36,1.27
2020-07-25,1,1568,50.73
2020-07-25,2,1483,47.98
2020-07-25,9,40,1.35
2020-07-26,1,1633,50.67
2020-07-26,2,1556,48.28
2020-07-26,9,34,1.10
2020-07-27,1,1689,50.49
2020-07-27,2,1624,48.55
2020-07-27,9,32,1.00
2020-07-28,1,1755,49.90
2020-07-28,2,1722,48.96
2020-07-28,9,40,1.19
2020-07-29,1,1815,49.31
2020-07-29,2,1806,49.06
2020-07-29,9,60,1.70
2020-07-30,1,1858,49.41
2020-07-30,2,1847,49.12
2020-07-30,9,55,1.51
