DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-11-21,0-10 years,47493,0.055509,55,0.063291,5,0
05-11-21,11-20 years,110514,0.129167,121,0.139241,5,0
05-11-21,21-30 years,154624,0.180723,141,0.162255,49,1
05-11-21,31-40 years,133253,0.155745,170,0.195627,132,1
05-11-21,41-50 years,127537,0.149064,134,0.1542,406,0
05-11-21,51-60 years,120203,0.140492,124,0.142693,1070,3
05-11-21,61-70 years,85938,0.100443,71,0.081703,2310,1
05-11-21,71-80 years,49579,0.057947,45,0.051784,3754,-1
05-11-21,81+ years,25369,0.029651,8,0.009206,4565,-1
05-11-21,Pending,1077,0.001259,0,0,0,0
05-10-21,0-10 years,47438,0.055501,63,0.098746,5,0
05-10-21,11-20 years,110393,0.129157,94,0.147335,5,0
05-10-21,21-30 years,154483,0.180741,94,0.147335,48,0
05-10-21,31-40 years,133083,0.155704,101,0.158307,131,1
05-10-21,41-50 years,127403,0.149059,95,0.148903,406,1
05-10-21,51-60 years,120079,0.14049,98,0.153605,1067,3
05-10-21,61-70 years,85867,0.100462,44,0.068966,2309,6
05-10-21,71-80 years,49534,0.057954,26,0.040752,3755,4
05-10-21,81+ years,25361,0.029672,14,0.021944,4566,1
05-10-21,Pending,1077,0.001260,9,0.014107,0,0
05-09-21,0-10 years,47375,0.055469,16,0.042440,5,0
05-09-21,11-20 years,110299,0.129144,66,0.175066,5,0
05-09-21,21-30 years,154389,0.180766,76,0.201592,48,0
05-09-21,31-40 years,132982,0.155702,69,0.183024,130,2
05-09-21,41-50 years,127308,0.149059,64,0.169761,405,2
05-09-21,51-60 years,119981,0.14048,44,0.116711,1064,5
05-09-21,61-70 years,85823,0.100486,28,0.074271,2303,3
05-09-21,71-80 years,49508,0.057966,12,0.031830,3751,5
05-09-21,81+ years,25347,0.029678,2,0.005305,4565,2
05-09-21,Pending,1068,0.001250,0,0,0,0
05-08-21,0-10 years,47359,0.055475,50,0.089286,5,0
05-08-21,11-20 years,110233,0.129123,76,0.135714,5,0
05-08-21,21-30 years,154313,0.180757,103,0.183929,48,0
05-08-21,31-40 years,132913,0.15569,101,0.180357,128,0
05-08-21,41-50 years,127244,0.149049,71,0.126786,403,0
05-08-21,51-60 years,119937,0.14049,69,0.123214,1059,0
05-08-21,61-70 years,85795,0.100497,59,0.105357,2300,0
