DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-05-20,Shelby,,,,,,,,,,,,,,,,,,,,
03-05-20,Williamson,1,,,,,,,,,,,,,,,,,,,
03-06-20,Davidson,,,,,,,,,,,,,,,,,,,,
03-06-20,Williamson,1,0,,,,,,,,,,,,,,,,,,
03-07-20,Williamson,1,0,,,,,,,,,,,,,,,,,,
03-08-20,Davidson,1,,,,,,,,,,,,,,,,,,,
03-08-20,Shelby,1,,,,,,,,,,,,,,,,,,,
03-08-20,Williamson,1,0,,,,,,,,,,,,,,,,,,
03-09-20,Davidson,1,0,,,,,,,,,,,,,,,,,,
03-09-20,Hamilton,,,,,,,,,,,,,,,,,,,,
03-09-20,Knox,,,,,,,,,,,,,,,,,,,,
03-09-20,Pending,1,,,,,,,,,,,,,,,,,,,
03-09-20,Shelby,1,0,,,,,,,,,,,,,,,,,,
03-09-20,Sullivan,,,,,,,,,,,,,,,,,,,,
03-09-20,Williamson,1,0,,,,,,,,,,,,,,,,,,
03-10-20,Davidson,2,1,,,,,,,,,,,,,,,,,,
03-10-20,Knox,,,,,,,,,,,,,,,,,,,,
03-10-20,Shelby,1,0,,,,,,,,,,,,,,,,,,
03-10-20,Sullivan,1,,,,,,,,,,,,,,,,,,,
03-10-20,Williamson,3,2,,,,,,,,,,,,,,,,,,
03-11-20,Campbell,,,,,,,,,,,,,,,,,,,,
03-11-20,Davidson,2,0,,,,,,,,,,,,,,,,,,
03-11-20,Jefferson,,,,,,,,,,,,,,,,,,,,
03-11-20,Knox,,,,,,,,,,,,,,,,,,,,
03-11-20,Rutherford,,,,,,,,,,,,,,,,,,,,
03-11-20,Shelby,1,0,,,,,,,,,,,,,,,,,,
03-11-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-11-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-11-20,Williamson,5,2,,,,,,,,,,,,,,,,,,
03-12-20,Davidson,6,4,,,,,,,,,,,,,,,,,,
03-12-20,Hamilton,,,,,,,,,,,,,,,,,,,,
03-12-20,Knox,1,,,,,,,,,,,,,,,,,,,
03-12-20,Shelby,2,1,,,,,,,,,,,,,,,,,,
03-12-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-12-20,Williamson,8,3,,,,,,,,,,,,,,,,,,
03-13-20,Anderson,,,,,,,,,,,,,,,,,,,,
03-13-20,Bradley,,,,,,,,,,,,,,,,,,,,
03-13-20,Davidson,10,4,,,,,,,,,,,,,,,,,,
03-13-20,Hamilton,1,,,,,,,,,,,,,,,,,,,
03-13-20,Jefferson,1,,,,,,,,,,,,,,,,,,,
03-13-20,Knox,1,0,,,,,,,,,,,,,,,,,,
03-13-20,Loudon,,,,,,,,,,,,,,,,,,,,
03-13-20,Rutherford,1,,,,,,,,,,,,,,,,,,,
03-13-20,Sevier,,,,,,,,,,,,,,,,,,,,
03-13-20,Shelby,2,0,,,,,,,,,,,,,,,,,,
03-13-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-13-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-13-20,Tipton,,,,,,,,,,,,,,,,,,,,
03-13-20,Washington,,,,,,,,,,,,,,,,,,,,
03-13-20,Williamson,9,1,,,,,,,,,,,,,,,,,,
03-14-20,Campbell,1,,,,,,,,,,,,,,,,,,,
03-14-20,Cheatham,,,,,,,,,,,,,,,,,,,,
03-14-20,Davidson,14,4,,,,,,,,,,,,,,,,,,
03-14-20,Dekalb,,,,,,,,,,,,,,,,,,,,
03-14-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-14-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-14-20,Knox,1,0,,,,,,,,,,,,,,,,,,
03-14-20,McMinn,,,,,,,,,,,,,,,,,,,,
03-14-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-14-20,Shelby,2,0,,,,,,,,,,,,,,,,,,
03-14-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-14-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-14-20,Williamson,10,1,,,,,,,,,,,,,,,,,,
03-15-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Davidson,17,3,,,,,,,,,,,,,,,,,,
03-15-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Knox,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Maury,,,,,,,,,,,,,,,,,,,,
03-15-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Shelby,2,0,,,,,,,,,,,,,,,,,,
03-15-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-15-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-15-20,Williamson,14,4,,,,,,,,,,,,,,,,,,
03-15-20,Wilson,,,,,,,,,,,,,,,,,,,,
03-16-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Cheatham,,,,,,,,,,,,,,,,,,,,
03-16-20,Chester,,,,,,,,,,,,,,,,,,,,
03-16-20,Cumberland,,,,,,,,,,,,,,,,,,,,
03-16-20,Davidson,25,8,,,,,,,,,,,,,,,,,,
03-16-20,Fayette,,,,,,,,,,,,,,,,,,,,
03-16-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Hardin,,,,,,,,,,,,,,,,,,,,
03-16-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Knox,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Loudon,,,,,,,,,,,,,,,,,,,,
03-16-20,Marion,,,,,,,,,,,,,,,,,,,,
