DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-13-21,Anderson,8795,3,6525,1,2270,2,7300,1,64810,103,72110,104,0,171,-3,61,6,8563,1,220,171
05-13-21,Bedford,6522,2,5107,0,1415,2,5887,1,32905,49,38792,50,0,128,-1,29,3,6365,0,138,128
05-13-21,Benton,1673,1,1306,1,367,0,1446,1,9364,12,10810,13,0,40,-2,19,3,1614,0,39,40
05-13-21,Bledsoe,2158,1,1938,0,220,1,2055,0,16567,23,18622,23,0,11,-2,28,3,2119,0,32,11
05-13-21,Blount,15559,12,13195,8,2364,4,14556,10,79021,107,93577,117,0,196,-7,133,19,15230,1,359,196
05-13-21,Bradley,15100,4,12277,3,2823,1,13950,6,70167,102,84117,108,0,151,-23,140,27,14809,0,671,151
05-13-21,Campbell,4174,0,2277,0,1897,0,2555,0,25447,24,28002,24,0,63,-5,29,5,4082,0,129,63
05-13-21,Cannon,1928,2,1532,1,396,1,1706,1,9699,13,11405,14,0,31,0,16,2,1881,0,39,31
05-13-21,Carroll,3634,4,2357,2,1277,2,2799,2,20101,20,22900,22,0,83,2,27,2,3524,0,83,83
05-13-21,Carter,6662,1,5767,0,895,1,6349,2,39879,40,46228,42,0,158,-8,72,9,6432,0,234,158
05-13-21,Cheatham,4578,5,3477,5,1101,0,3927,4,28666,48,32593,52,0,56,0,43,5,4479,0,90,56
05-13-21,Chester,2154,3,1536,1,618,2,1828,1,12362,13,14190,14,0,51,2,23,1,2080,0,45,51
05-13-21,Claiborne,3188,0,2035,0,1153,0,2183,0,25014,27,27197,27,0,73,0,22,0,3093,0,95,73
05-13-21,Clay,1103,0,756,0,347,0,873,0,5765,0,6638,0,0,30,0,2,0,1071,0,25,30
05-13-21,Cocke,4524,1,2965,0,1559,1,3269,0,23146,34,26415,34,0,99,-2,42,3,4383,0,120,99
05-13-21,Coffee,6922,2,4768,1,2154,1,5818,1,47113,44,52931,45,1,123,0,36,1,6763,0,125,123
05-13-21,Crockett,2035,0,1223,0,812,0,1427,0,7543,12,8970,12,0,49,-1,5,1,1981,0,31,49
05-13-21,Cumberland,6769,5,5552,4,1217,1,6374,4,49991,36,56365,40,0,133,-3,67,8,6569,0,167,133
05-13-21,Davidson,89674,64,83748,45,5926,19,101694,50,1042459,1367,1144153,1417,1,942,-4,623,67,88109,0,1988,941
05-13-21,Decatur,1593,1,1175,1,418,0,1395,1,11133,10,12528,11,0,39,0,9,1,1545,0,40,39
05-13-21,Dekalb,2807,1,2067,0,740,1,2384,0,17541,21,19925,21,0,54,-2,18,3,2735,0,57,54
05-13-21,Dickson,6854,4,4968,4,1886,0,5860,4,37248,64,43108,68,0,113,1,32,3,6709,0,122,113
05-13-21,Dyer,5440,1,3568,1,1872,0,4029,1,22387,16,26416,17,0,106,-6,29,7,5305,0,112,106
05-13-21,Fayette,5118,5,4332,4,786,1,5364,6,39568,86,44932,92,1,78,-9,81,13,4959,0,134,78
05-13-21,Fentress,2430,2,2086,2,344,0,2381,3,13697,14,16078,17,0,47,-1,19,3,2364,0,64,47
05-13-21,Franklin,5164,1,4283,0,881,1,5011,1,39672,22,44683,23,0,90,0,30,1,5044,0,110,90
05-13-21,Gibson,6542,8,3917,0,2625,8,4741,2,30585,78,35326,80,0,146,3,37,5,6359,0,116,146
05-13-21,Giles,4010,1,3287,1,723,0,3779,1,23622,21,27401,22,0,100,-6,25,7,3885,0,111,100
05-13-21,Grainger,2635,0,1939,0,696,0,2171,0,14430,12,16601,12,0,50,0,18,0,2567,0,73,50
05-13-21,Greene,7928,6,6316,4,1612,2,7069,3,53200,138,60269,141,0,156,-1,95,7,7677,0,199,156
05-13-21,Grundy,1795,0,1500,0,295,0,1716,0,9558,6,11274,6,0,34,0,4,0,1757,0,61,34
05-13-21,Hamblen,8632,2,5980,0,2652,2,6711,0,47188,56,53899,56,0,173,-2,49,4,8410,0,266,173
05-13-21,Hamilton,44570,43,38112,28,6458,15,42739,29,331505,533,374244,562,0,496,-8,443,51,43631,1,1178,496
05-13-21,Hancock,593,0,407,0,186,0,435,0,4054,3,4489,3,0,12,0,5,0,576,0,23,12
05-13-21,Hardeman,3537,10,2835,6,702,4,3314,6,25996,29,29310,35,0,64,6,30,4,3443,0,105,64
05-13-21,Hardin,3589,2,2415,0,1174,2,2867,1,24056,17,26923,18,0,68,-3,21,5,3500,0,70,68
05-13-21,Hawkins,6161,9,4959,6,1202,3,5342,8,36717,115,42059,123,0,107,-10,150,19,5904,0,160,107
05-13-21,Haywood,2715,0,2273,0,442,0,2592,0,14006,15,16598,15,0,62,-5,11,5,2642,0,84,62
05-13-21,Henderson,3807,5,2626,4,1181,1,3278,4,16355,6,19633,10,0,76,4,24,1,3707,0,79,76
05-13-21,Henry,3206,4,2455,2,751,2,2838,2,18265,19,21103,21,0,76,-5,37,9,3093,0,78,76
05-13-21,Hickman,2847,0,2292,0,555,0,2642,0,17134,21,19776,21,0,46,-1,15,1,2786,0,58,46
05-13-21,Houston,1097,0,825,0,272,0,945,0,10806,11,11751,11,0,33,-2,6,2,1058,0,40,33
05-13-21,Humphreys,1815,4,1145,2,670,2,1335,3,12130,6,13465,9,0,28,2,31,2,1756,0,37,28
05-13-21,Jackson,1323,0,1032,0,291,0,1203,0,5690,4,6893,4,0,36,0,10,0,1277,0,41,36
05-13-21,Jefferson,6244,2,4250,2,1994,0,4803,2,40063,30,44866,32,0,125,-6,71,8,6048,0,198,125
05-13-21,Johnson,2419,3,2088,1,331,2,2228,1,16503,54,18731,55,0,39,-1,31,4,2349,0,60,39
05-13-21,Knox,51116,30,42607,15,8509,15,46620,16,337560,379,384180,395,0,636,-18,354,48,50126,0,1388,636
05-13-21,Lake,1705,0,1515,0,190,0,1784,0,10302,7,12086,7,0,26,0,6,0,1673,0,27,26
05-13-21,Lauderdale,3202,1,2489,0,713,1,2858,1,21672,21,24530,22,0,44,-2,26,3,3132,0,84,43
05-13-21,Lawrence,5984,5,4651,5,1333,0,5118,5,30337,34,35455,39,2,91,-5,92,8,5801,0,153,91
05-13-21,Lewis,1584,1,1180,1,404,0,1277,1,10172,10,11449,11,0,26,1,6,0,1552,0,43,26
05-13-21,Lincoln,4371,4,3364,4,1007,0,3821,4,18174,21,21995,25,0,63,1,28,3,4280,1,88,62
05-13-21,Loudon,6164,6,4674,1,1490,5,5117,2,32256,44,37373,46,0,69,-5,55,11,6040,0,139,69
05-13-21,Macon,3631,1,2805,0,826,1,3297,0,17425,41,20722,41,0,78,0,18,1,3535,0,129,78
05-13-21,Madison,11281,37,6295,16,4986,21,7601,17,57259,130,64860,147,0,241,33,55,4,10985,0,338,241
05-13-21,Marion,3128,0,2673,0,455,0,2987,0,20272,10,23259,10,0,47,-1,11,1,3070,0,115,47
05-13-21,Marshall,4206,4,3282,0,924,4,3710,0,23725,14,27435,14,0,58,2,37,2,4111,0,92,58
05-13-21,Maury,13545,9,11819,8,1726,1,13037,8,77129,82,90166,90,0,172,-12,112,21,13261,0,297,171
05-13-21,McMinn,6541,8,5781,5,760,3,6365,6,43899,53,50264,59,0,98,-2,53,10,6390,0,163,98
05-13-21,McNairy,2842,1,1992,0,850,1,2416,0,18918,29,21334,29,0,54,1,30,0,2758,0,66,54
05-13-21,Meigs,1391,1,1243,0,148,1,1382,1,8342,8,9724,9,0,25,-2,5,3,1361,0,46,25
05-13-21,Monroe,5875,4,4619,1,1256,3,5174,1,28261,20,33435,21,0,96,2,54,2,5725,0,161,96
05-13-21,Montgomery,20402,12,14951,7,5451,5,16419,11,123613,263,140032,274,0,227,-18,274,30,19901,0,308,227
05-13-21,Moore,1017,2,781,1,236,1,881,1,4968,5,5849,6,0,17,2,9,0,991,0,18,17
05-13-21,Morgan,2513,1,1834,0,679,1,1992,0,15761,22,17753,22,0,39,-1,24,2,2450,0,46,39
05-13-21,Obion,4550,1,3357,1,1193,0,3806,1,23360,29,27166,30,0,96,-1,20,2,4434,0,102,96
05-13-21,Out of State,18223,29,14436,24,3787,5,16218,20,655855,1071,672073,1091,0,99,10,181,19,17943,0,219,99
05-13-21,Overton,3025,1,2262,1,763,0,2662,1,15474,9,18136,10,0,61,-1,22,2,2942,0,64,61
05-13-21,Pending,16918,44,10879,21,6039,23,12091,21,433136,857,445227,878,0,134,33,156,11,16628,0,139,133
05-13-21,Perry,1072,1,920,0,152,1,1036,1,6229,10,7265,11,0,28,-1,9,2,1035,0,28,28
05-13-21,Pickett,759,0,501,0,258,0,603,0,4015,2,4618,2,0,24,0,1,0,734,0,28,24
05-13-21,Polk,2087,2,1869,1,218,1,2073,2,9923,19,11996,21,1,25,-4,28,5,2034,0,91,25
05-13-21,Putnam,11437,8,9283,2,2154,6,11114,4,74707,43,85821,47,0,175,-7,109,15,11153,0,211,175
05-13-21,Rhea,4357,0,3762,0,595,0,4211,1,27745,27,31956,28,0,75,-5,18,5,4264,0,86,75
05-13-21,Roane,6318,4,4842,0,1476,4,5393,0,44676,80,50069,80,0,105,-6,48,10,6165,0,153,105
05-13-21,Robertson,9793,9,7647,6,2146,3,8613,6,45807,78,54420,84,0,132,4,64,5,9597,0,439,132
05-13-21,Rutherford,43212,36,36788,20,6424,16,42728,26,251765,544,294493,570,0,437,1,328,35,42447,0,596,437
05-13-21,Scott,3152,2,1715,1,1437,1,1833,1,11949,26,13782,27,0,45,-1,45,3,3062,0,67,45
05-13-21,Sequatchie,1718,2,1333,2,385,0,1457,3,12116,9,13573,12,0,29,0,24,2,1665,0,41,29
05-13-21,Sevier,13451,6,11423,3,2028,3,12569,6,69630,152,82199,158,0,175,1,138,5,13138,0,285,175
05-13-21,Shelby,96452,130,89106,109,7346,21,109589,140,1049254,2821,1158843,2961,1,1629,7,1439,122,93384,0,3731,1628
05-13-21,Smith,2785,0,2077,0,708,0,2594,0,14164,19,16758,19,0,39,-2,18,2,2728,0,59,39
05-13-21,Stewart,1330,3,1006,2,324,1,1139,2,7197,7,8336,9,0,28,2,12,1,1290,0,26,28
05-13-21,Sullivan,16952,37,14720,37,2232,0,15964,40,94847,274,110811,314,0,298,2,295,35,16359,0,780,297
05-13-21,Sumner,24135,13,21235,7,2900,6,24047,11,128817,205,152864,216,0,349,-16,265,29,23521,0,720,348
05-13-21,Tipton,7397,8,5114,4,2283,4,6166,4,50474,99,56640,103,0,104,2,84,6,7209,0,162,103
05-13-21,Trousdale,2506,0,2344,0,162,0,2512,0,9568,13,12080,13,0,22,-1,6,1,2478,0,41,22
05-13-21,Unicoi,2045,0,1542,0,503,0,1693,0,14124,18,15817,18,0,49,-4,27,4,1969,0,71,49
05-13-21,Union,1922,6,1609,6,313,0,1733,5,10955,12,12688,17,0,34,4,19,2,1869,0,59,34
05-13-21,Van Buren,855,2,703,1,152,1,779,1,5425,7,6204,8,0,23,2,7,0,825,0,24,23
05-13-21,Warren,5555,5,4725,4,830,1,5352,3,34435,35,39787,38,0,81,4,21,1,5453,0,85,81
05-13-21,Washington,14691,10,12560,5,2131,5,13821,8,88500,152,102321,160,0,245,-12,187,22,14259,0,374,245
05-13-21,Wayne,2970,2,2378,1,592,1,2616,1,11529,7,14145,8,0,34,2,21,0,2915,0,61,34
05-13-21,Weakley,4163,7,3038,2,1125,5,3477,2,22313,31,25790,33,0,65,-2,57,9,4041,0,77,65
05-13-21,White,3681,2,2987,2,694,0,3631,2,23597,28,27228,30,0,70,-7,67,9,3544,0,118,70
05-13-21,Williamson,28116,13,23595,12,4521,1,26170,12,194040,264,220210,276,0,217,-12,221,25,27678,0,294,217
05-13-21,Wilson,18907,8,16959,6,1948,2,19233,7,113436,232,132669,239,0,236,-3,194,11,18477,0,339,236
05-12-21,Anderson,8792,13,6524,6,2268,7,7299,6,64707,104,72006,110,0,171,8,64,5,8557,1,219,171
05-12-21,Bedford,6520,3,5107,2,1413,1,5886,2,32856,59,38742,61,-1,128,2,30,2,6362,0,138,128
05-12-21,Benton,1672,2,1305,2,367,0,1445,3,9352,25,10797,28,0,40,2,21,0,1611,0,39,40
05-12-21,Bledsoe,2157,4,1938,3,219,1,2055,2,16544,12,18599,14,0,11,3,30,1,2116,0,32,11
05-12-21,Blount,15547,16,13187,13,2360,3,14546,13,78914,167,93460,180,1,196,-15,140,30,15211,1,358,196
05-12-21,Bradley,15096,7,12274,5,2822,2,13944,8,70065,150,84009,158,0,151,-8,163,15,14782,0,671,151
05-12-21,Campbell,4174,4,2277,2,1897,2,2555,2,25423,21,27978,23,0,63,2,34,2,4077,0,129,63
05-12-21,Cannon,1926,2,1531,0,395,2,1705,0,9686,17,11391,17,0,31,2,16,0,1879,0,39,31
05-12-21,Carroll,3630,3,2355,2,1275,1,2797,2,20081,26,22878,28,0,83,-9,25,12,3522,0,83,83
05-12-21,Carter,6661,10,5767,6,894,4,6347,6,39839,88,46186,94,0,158,0,80,10,6423,0,234,158
05-12-21,Cheatham,4573,6,3472,6,1101,0,3923,7,28618,55,32541,62,0,56,-1,43,7,4474,0,90,56
05-12-21,Chester,2151,2,1535,0,616,2,1827,0,12349,25,14176,25,0,51,-4,21,6,2079,0,45,51
05-12-21,Claiborne,3188,2,2035,1,1153,1,2183,2,24987,21,27170,23,0,73,0,22,2,3093,0,95,73
05-12-21,Clay,1103,1,756,1,347,0,873,1,5765,10,6638,11,0,30,1,2,0,1071,0,25,30
05-12-21,Cocke,4523,5,2965,0,1558,5,3269,1,23112,66,26381,67,0,99,4,44,1,4380,0,120,99
05-12-21,Coffee,6920,2,4767,1,2153,1,5817,1,47069,66,52886,67,0,122,-4,36,6,6762,0,125,123
05-12-21,Crockett,2035,1,1223,1,812,0,1427,1,7531,17,8958,18,0,49,-2,6,3,1980,0,31,49
05-12-21,Cumberland,6764,8,5548,4,1216,4,6370,7,49955,85,56325,92,0,133,6,70,2,6561,1,167,133
05-12-21,Davidson,89610,52,83703,40,5907,12,101644,53,1041092,2022,1142736,2075,1,941,-25,627,76,88042,0,1988,941
05-12-21,Decatur,1592,0,1174,0,418,0,1394,0,11123,13,12517,13,0,39,-2,9,2,1544,0,40,39
05-12-21,Dekalb,2806,1,2067,1,739,0,2384,1,17520,32,19904,33,0,54,-2,20,3,2732,0,57,54
05-12-21,Dickson,6850,0,4964,0,1886,0,5856,0,37184,79,43040,79,0,113,-6,31,6,6706,0,122,113
05-12-21,Dyer,5439,5,3567,2,1872,3,4028,2,22371,25,26399,27,0,106,3,35,2,5298,1,112,106
05-12-21,Fayette,5113,15,4328,14,785,1,5358,23,39482,106,44840,129,0,77,3,90,12,4946,0,134,78
05-12-21,Fentress,2428,4,2084,4,344,0,2378,4,13683,33,16061,37,0,47,4,20,0,2361,0,64,47
