DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSP,TOTAL_HOSP
03-04-20,0,,,,,,,,,,,,,,,
03-05-20,1,1,,,,,,,,,,,,,,
03-06-20,1,0,,,,,,,,,,,,,,
03-07-20,1,0,,,,,,,,,,,,,,
03-08-20,3,2,,,,,,,,,,,,,,
03-09-20,4,1,,,,,,,,,,,,,,
03-10-20,7,3,,,,,,,,,,,,,,
03-11-20,9,2,,,,,,,,,,,,,,
03-12-20,18,9,,,,,,,,,,,,,,
03-13-20,26,8,,,,,,,,,,,,,,
03-14-20,32,6,,,,,,,,,,,,,,
03-15-20,39,7,,,,,,,,,,,,,,
03-16-20,52,13,,,,,,,,,,,,,,
03-17-20,73,21,,,,,,,,,,,,,,
03-18-20,98,25,,,,,,,,,,,,,,
03-19-20,154,56,,,,,,,,,,,,,,
03-20-20,228,74,,,,,,,,,,,,,,
03-21-20,371,143,,,,,,,,,,,,,,
03-22-20,505,134,,,,,,,,,,,,,,
03-23-20,615,110,,,,,,,,,,,,,,
03-24-20,667,52,,,,,,,,,,,,,,
03-25-20,784,117,,,,,,,,,,,,,,
03-26-20,957,173,,,,,,,,,,,,,,
03-27-20,1203,246,,,,,,,,,,,,,,
03-28-20,1373,170,,,,,,,,,,,,,,
03-29-20,1537,164,,,,,,,,,,,,,,
03-30-20,1834,297,,,,,,,,,,,,,,
03-31-20,2239,405,,,,,,,,,,,,,,
04-01-20,2683,444,,,,,,,,,,,,,,
04-02-20,2845,162,,,,,,,,,,,,,,
04-03-20,3067,222,,,,,,,,,,,,,,
04-04-20,3321,254,,,,,,,,,,,,,,
04-05-20,3633,312,,,,,,,,,,,,,,
04-06-20,3802,169,,,,,,,,,,,,,,
04-07-20,4138,336,,,,,,,,,,,,,,
04-08-20,4362,224,,,,,,,,,,,,,,
04-09-20,4634,272,,,,,,,,,,,,,,
04-10-20,4862,228,,,,,,,,,,,,,,
04-11-20,5114,252,,,,,,,,,,,,,,
04-12-20,5308,194,,,,,,,,,,,,,,
04-13-20,5610,302,,,,,,,,,,,,,,
04-14-20,5823,213,,,,,,,,,,,,,,
04-15-20,6079,256,,,,,,,,,,,,,,
04-16-20,6262,183,,,,,,,,,,,,,,
04-17-20,6589,327,,,,,,,,,,,,,,
04-18-20,6762,173,,,,,,,,,,,,,,
04-19-20,7070,308,,,,,,,,,,,,,,
04-20-20,7238,168,,,,,,,,,,,,,,
04-21-20,7394,156,,,,,,,,,,,,,,
04-22-20,7842,448,,,,,,,,,,,,,,
04-23-20,8266,424,,,,,,,,,,,,,,
04-24-20,8726,460,,,,,,,,,,,,,,
04-25-20,9189,463,,,,,,,,,,,,,,
04-26-20,9667,478,,,,,,,,,,,,,,
04-27-20,9918,251,,,,,,,,,,,,,,
04-28-20,10052,134,,,,,,,,,,,,,,
04-29-20,10366,314,,,,,,,,,,,,,,
04-30-20,10735,369,,,,,,,,,,,,,,
05-01-20,11891,1156,,,,,,,,,,,,,,
05-02-20,12661,770,,,,,,,,,,,,,,
05-03-20,13177,516,,,,,,,,,,,,,,
05-04-20,13502,325,,,,,,,,,,,,,,
05-05-20,13624,122,,,,,,,,,,,,,,
05-06-20,13938,314,,,,,,,,,,,,,,
05-07-20,14096,158,,,,,,,,,,,,,,
05-08-20,14441,345,,,,,,,,,,,,,,
05-09-20,14768,327,,,,,,,,,,,,,,
05-10-20,14985,217,,,,,,,,,,,,,,
05-11-20,15544,559,,,,,,,,,,,,,,
05-12-20,16110,566,,,,,,,,,,,,,,
05-13-20,16370,260,,,,,,,,,,,,,,
05-14-20,16699,329,,,,,,,,,,,,,,
05-15-20,16970,271,,,,,,,,,,,,,,
05-16-20,17288,318,,,,,,,,,,,,,,
05-17-20,17388,100,,,,,,,,,,,,,,
05-18-20,18011,623,,,,,,,,,,,,,,
05-19-20,18378,367,,,,,,,,,,,,,,
05-20-20,18532,154,,,,,,,,,,,,,,
05-21-20,18961,429,,,,,,,,,,,,,,
05-22-20,19394,433,,,,,,,,,,,,,,
05-23-20,19789,395,,,,,,,,,,,,,,
05-24-20,20145,356,,,,,,,,,,,,,,
05-25-20,20607,462,,,,,,,,,,,,,,
05-26-20,20965,358,,,,,,,,,,,,,,
05-27-20,21306,341,,,,,,,,,,,,,,
05-28-20,21679,373,,,,,,,,,,,,,,
05-29-20,22085,406,,,,,,,,,,,,,,
05-30-20,22566,481,,,,,,,,,,,,,,
05-31-20,23006,440,23006,,23006,412971,435977,,,364,,15300,,7342,,1750
