DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSP,TOTAL_HOSP
03-04-20,0,,,,,,,,,,,,,,,,,
03-05-20,1,1,,,,,,,,,,,,,,,,
03-06-20,1,0,,,,,,,,,,,,,,,,
03-07-20,1,0,,,,,,,,,,,,,,,,
03-08-20,3,2,,,,,,,,,,,,,,,,
03-09-20,4,1,,,,,,,,,,,,,,,,
03-10-20,7,3,,,,,,,,,,,,,,,,
03-11-20,9,2,,,,,,,,,,,,,,,,
03-12-20,18,9,,,,,,,,,,,,,,,,
03-13-20,26,8,,,,,,,,,,,,,,,,
03-14-20,32,6,,,,,,,,,,,,,,,,
03-15-20,39,7,,,,,,,,,,,,,,,,
03-16-20,52,13,,,,,,,,,,,,,,,,
03-17-20,73,21,,,,,,,,,,,,,,,,
03-18-20,98,25,,,,,,,,,,,,,,,,
03-19-20,154,56,,,,,,,,,,,,,,,,
03-20-20,228,74,,,,,,,,,,0,,,,,,
03-21-20,371,143,,,,,,,,,1,1,,,,,,
03-22-20,505,134,,,,,,,,,1,2,,,,,,
03-23-20,615,110,,,,,,,,,0,2,,,,,,
03-24-20,667,52,,,,,667,10477,11144,,0,2,,,,,,
03-25-20,784,117,,,,,784,11012,11796,652,1,3,,,,781,,53
03-26-20,957,173,,,,,957,13952,14909,3113,0,3,,,173,954,23,76
03-27-20,1203,246,,,,,1203,14888,16091,1182,3,6,,,243,1197,27,103
03-28-20,1373,170,,,,,1373,16965,18338,2247,0,6,,,170,1367,15,118
03-29-20,1537,164,,,,,1537,19037,20574,2236,1,7,,,163,1530,15,133
03-30-20,1834,297,,,,,1834,21470,23304,2730,6,13,,109,182,1712,15,148
03-31-20,2239,405,,,,,2239,25121,27360,4056,10,23,12,121,383,2095,27,175
04-01-20,2683,444,,,,,2683,29769,32452,5092,1,24,16,137,427,2522,25,200
04-02-20,2845,162,,,,,2845,31766,34611,2159,8,32,83,220,71,2593,63,263
04-03-20,3067,222,,,,,3067,34772,37839,3228,5,37,28,248,189,2782,30,293
04-04-20,3321,254,,,,,3321,38070,41391,3552,6,43,27,275,221,3003,18,311
04-05-20,3633,312,,,,,3633,41667,45300,3909,1,44,20,295,291,3294,17,328
04-06-20,3802,169,,,,,3802,43548,47350,2050,21,65,61,356,87,3381,24,352
04-07-20,4138,336,,,,,4138,48736,52874,5524,7,72,110,466,219,3600,56,408
04-08-20,4362,224,,,,,4362,52256,56618,3744,7,79,126,592,91,3691,41,449
04-09-20,4634,272,,,,,4634,55215,59849,3231,15,94,329,921,-72,3619,56,505
04-10-20,4862,228,,,,,4862,57937,62799,2950,4,98,224,1145,0,3619,31,536
04-11-20,5114,252,,,,,5114,61714,66828,4029,3,101,241,1386,8,3627,20,556
04-12-20,5308,194,,,,,5308,65369,70747,3919,0,101,118,1504,76,3703,11,567
04-13-20,5610,302,,,,,5610,70585,76195,5448,8,109,167,1671,127,3830,12,579
04-14-20,5823,213,,,,,5823,73008,78831,2636,15,124,298,1969,-100,3730,54,633
04-15-20,6079,256,,,,,6079,74817,80896,2065,11,135,227,2196,18,3748,30,663
04-16-20,6262,183,,,,,6262,78787,85049,4153,6,141,590,2786,-413,3335,28,691
04-17-20,6589,327,,,,,6589,80684,87273,2224,1,142,231,3017,95,3430,20,711
04-18-20,6762,173,,,,,6762,83824,90586,3313,3,145,217,3234,-47,3383,8,719
04-19-20,7070,308,,,,,7070,90028,97098,6512,3,148,110,3344,195,3578,5,724
04-20-20,7238,168,,,,,7238,93451,100689,3591,4,152,231,3575,-67,3511,6,730
04-21-20,7394,156,,,,,7394,100788,108182,7493,5,157,253,3828,-102,3409,30,760
04-22-20,7842,448,,,,,7842,107138,114980,6798,9,166,184,4012,255,3664,15,775
04-23-20,8266,424,,,,,8266,114834,123100,8120,4,170,180,4192,240,3904,18,793
04-24-20,8726,460,,,,,8726,122602,131328,8228,-2,168,178,4370,284,4188,15,808
04-25-20,9189,463,,,,,9189,132217,141406,10078,10,178,97,4467,356,4544,13,821
04-26-20,9667,478,,,,,9667,137807,147474,6068,3,181,60,4527,415,4959,7,828
04-27-20,9918,251,,,,,9918,144484,154402,6928,3,184,193,4720,55,5014,9,837
04-28-20,10052,134,,,,,10052,151876,161928,7526,4,188,201,4921,-71,4943,57,894
04-29-20,10366,314,,,,,10366,158183,168549,6621,7,195,219,5140,88,5031,119,1013
04-30-20,10735,369,,,,,10735,166891,177626,9077,4,199,198,5338,167,5198,32,1045
05-01-20,11891,1156,,,,,11891,174241,186132,8506,5,204,208,5546,943,6141,68,1113
05-02-20,12661,770,,,,,12661,183615,196276,10144,5,209,172,5718,593,6734,12,1125
05-03-20,13177,516,,,,,13177,191430,204607,8331,1,210,96,5814,419,7153,10,1135
05-04-20,13502,325,13502,,69,,13502,197941,211443,6836,9,219,267,6081,118,7271,8,1143
05-05-20,13624,122,13624,122,66,-3,13624,205172,218796,7353,7,226,275,6356,-163,7108,13,1156
05-06-20,13938,314,13938,314,68,2,13938,213163,227101,8305,13,239,208,6564,27,7135,67,1223
05-07-20,14096,158,14096,158,70,2,14096,222232,236328,9227,-2,237,219,6783,-59,7076,43,1266
05-08-20,14441,345,14441,345,71,1,14441,229137,243578,7250,4,241,228,7011,113,7189,33,1299
05-09-20,14768,327,14768,327,75,4,14768,237980,252748,9170,1,242,358,7369,-32,7157,20,1319
05-10-20,14985,217,14985,217,75,0,14985,246884,261869,9121,1,243,159,7528,57,7214,6,1325
05-11-20,15544,559,15544,559,78,3,15544,257733,273277,11408,8,251,510,8038,41,7255,19,1344
05-12-20,16110,566,16110,566,80,2,16110,267813,283924,10647,13,264,298,8336,255,7510,18,1362
