DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-26-21,862098,520,710172,357,151926,163,818582,7132442,7951024,12321,22,12428,-98,5200,596,844470,9,21888,12420,0
05-25-21,861578,440,709815,283,151763,157,818146,7120557,7938703,9274,6,12406,-182,5298,616,843874,5,21879,12420,5
05-24-21,861138,465,709532,315,151606,150,817835,7111594,7929429,7870,7,12400,-318,5480,776,843258,12,21874,12415,2
05-23-21,860673,258,709217,190,151456,68,817463,7104096,7921559,5392,6,12393,-223,5798,475,842482,9,21862,12413,7
05-22-21,860415,315,709027,226,151388,89,817224,7098943,7916167,7490,3,12387,-155,6021,467,842007,14,21853,12406,3
05-21-21,860100,526,708801,348,151299,178,816920,7091757,7908677,10234,4,12384,-154,6176,676,841540,11,21839,12403,8
05-20-21,859574,555,708453,391,151121,164,816524,7081919,7898443,24059,16,12380,-215,6330,754,840864,18,21828,12395,11
05-19-21,859019,638,708062,462,150957,176,816055,7058329,7874384,13951,11,12364,-182,6545,809,840110,24,21810,12384,7
05-18-21,858381,573,707600,390,150781,183,815506,7044927,7860433,10644,14,12353,-273,6727,832,839301,20,21786,12377,6
05-17-21,857808,660,707210,390,150598,270,815069,7034720,7849789,9140,12,12339,-311,7000,959,838469,20,21766,12371,10
05-16-21,857148,276,706820,200,150328,76,814603,7026046,7840649,5294,4,12327,-259,7311,531,837510,14,21746,12361,10
05-15-21,856872,399,706620,290,150252,109,814350,7021005,7835355,8622,1,12323,-220,7570,618,836979,11,21732,12351,6
05-14-21,856473,808,706330,580,150143,228,813960,7012773,7826733,12086,10,12322,60,7790,738,836361,27,21721,12345,11
05-13-21,855665,709,705750,472,149915,237,813288,7001359,7814647,12396,7,12312,-176,7730,878,835623,16,21694,12334,5
05-12-21,854956,897,705278,661,149678,236,812733,6989518,7802251,17236,9,12305,-39,7906,927,834745,30,21678,12329,10
05-11-21,854059,847,704617,620,149442,227,811913,6973102,7785015,11474,4,12296,-147,7945,990,833818,28,21648,12319,6
05-10-21,853212,629,703997,381,149215,248,811273,6962268,7773541,7515,16,12292,-573,8092,1186,832828,30,21620,12313,10
05-09-21,852583,376,703616,283,148967,93,810838,6955188,7766026,6858,19,12276,-333,8665,690,831642,20,21590,12303,7
05-08-21,852207,559,703333,395,148874,164,810510,6948658,7759168,10282,0,12257,-84,8998,643,830952,13,21570,12296,9
05-07-21,851648,1034,702938,734,148710,300,810001,6938885,7748886,14998,2,12257,71,9082,961,830309,25,21557,12287,8
