date_stamp,ethnicity,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-04-08,0,2349,53.8514,,
2020-04-08,1,155,3.5534,,
2020-04-08,9,1858,42.5951,,
2020-04-09,1,184,3.9707,,
2020-04-09,0,2607,56.2581,,
2020-04-09,9,1843,39.7713,,
2020-04-10,9,1852,38.0913,,
2020-04-10,1,204,4.1958,,
2020-04-10,0,2806,57.7129,,
2020-04-11,1,225,4.3997,,
2020-04-11,0,2940,57.4892,,
2020-04-11,9,1949,38.1111,,
2020-04-12,9,1748,32.9314,,
2020-04-12,1,269,5.0678,,
2020-04-12,0,3291,62.0008,,
2020-04-13,9,1874,33.4046,,
2020-04-13,1,283,5.0446,,
2020-04-13,0,3453,61.5508,,
2020-04-14,9,1816,31.1867,,
2020-04-14,1,312,5.3581,,
2020-04-14,0,3695,63.4553,,
2020-04-15,9,1860,30.5971,,
2020-04-15,1,346,5.6917,,
2020-04-15,0,3873,63.7111,,
2020-04-16,9,1816,29.0003,,
2020-04-16,1,384,6.1322,,
2020-04-16,0,4062,64.8675,,
2020-04-17,9,1967,29.8528,,
2020-04-17,1,400,6.0707,,
2020-04-17,0,4222,64.0765,,
2020-04-18,1,429,6.3443,6,4.0
2020-04-18,9,1975,29.2073,8,6.0
2020-04-18,0,4358,64.4484,131,90.0
2020-04-19,9,2173,30.7355,9,6.0
2020-04-19,1,441,6.2376,6,4.0
2020-04-19,0,4456,63.0269,133,90.0
2020-04-20,1,467,6.4521,6,4.0
2020-04-20,9,2223,30.7129,10,7.0
2020-04-20,0,4548,62.835,136,89.0
2020-04-21,9,2135,28.8748,10,6.0
2020-04-21,1,527,7.1274,6,4.0
2020-04-21,0,4732,63.9978,141,90.0
2020-04-22,9,2388,30.4514,9,5.0
2020-04-22,1,580,7.3961,7,4.0
2020-04-22,0,4874,62.1525,150,90.0
2020-04-23,1,622,7.5248,7,4.0
2020-04-23,0,4996,60.4404,153,90.0
2020-04-23,9,2648,32.0348,10,6.0
2020-04-24,9,2945,33.7497,5,3.0
2020-04-24,1,652,7.4719,4,2.0
2020-04-24,0,5129,58.7784,159,95.0
2020-04-25,1,701,7.6287,5,3.0
2020-04-25,9,3200,34.8242,7,4.0
2020-04-25,0,5288,57.5471,166,93.0
2020-04-26,9,3423,35.4091,7,4.0
2020-04-26,1,731,7.5618,5,3.0
2020-04-26,0,5513,57.0291,169,93.0
2020-04-27,9,3503,35.3196,9,4.8
2020-04-27,1,754,7.6023,5,2.7
2020-04-27,0,5661,57.078,170,92.3
2020-04-28,9,3318,33.0084,9,4.7
2020-04-28,1,830,8.2571,5,2.6
2020-04-28,0,5904,58.7346,174,92.5
2020-04-29,9,3314,31.9699,10,5.1
2020-04-29,1,899,8.6726,5,2.5
2020-04-29,0,6153,59.3575,180,92.3
2020-04-30,9,3368,31.374,3,1.5
2020-04-30,1,977,9.1011,6,3.0
2020-04-30,0,6390,59.5249,190,95.4
2020-05-01,9,4222,35.5058,3,1.4
2020-05-01,1,1066,8.9648,6,2.9
