Date,Category,Cat_Detail,Cat_CaseCount,Cat_Percent,CAT_DEATHCOUNT,CAT_DEATHPERCENT
04-08-20,RACE,White,1140,0.261348,,
04-08-20,RACE,Black or African American,320,0.073361,,
04-08-20,RACE,Other/Multiracial,106,0.024301,,
04-08-20,RACE,Asian,32,0.007336,,
04-08-20,RACE,Pending,2764,0.633654,,
04-08-20,ETHNICITY,Not Hispanic or Latino,2349,0.538514,,
04-08-20,ETHNICITY,Hispanic,155,0.035534,,
04-08-20,ETHNICITY,Pending,1858,0.425951,,
04-08-20,SEX,Female,2247,0.515131,,
04-08-20,SEX,Male,2028,0.491279,,
04-08-20,SEX,Pending,87,0.031431,,
04-09-20,RACE,White,2013,0.434398,,
04-09-20,RACE,Black or African American,668,0.127774,,
04-09-20,RACE,Other/Multiracial,186,0.039207,,
04-09-20,RACE,Asian,51,0.007968,,
04-09-20,RACE,Pending,1716,0.196159,,
04-09-20,ETHNICITY,Not Hispanic or Latino,2607,0.562581,,
04-09-20,ETHNICITY,Hispanic,184,0.039707,,
04-09-20,ETHNICITY,Pending,1843,0.397713,,
04-09-20,SEX,Female,2398,0.517479,,
04-09-20,SEX,Male,2155,0.465041,,
04-09-20,SEX,Pending,81,0.017479,,
04-10-20,RACE,White,2305,0.474085,,
04-10-20,RACE,Black or African American,803,0.165158,,
04-10-20,RACE,Other/Multiracial,224,0.046072,,
04-10-20,RACE,Asian,61,0.012546,,
04-10-20,RACE,Pending,1469,0.302139,,
04-10-20,ETHNICITY,Not Hispanic or Latino,2806,0.577129,,
04-10-20,ETHNICITY,Hispanic,204,0.041958,,
04-10-20,ETHNICITY,Pending,1852,0.380913,,
04-10-20,SEX,Female,2514,0.517071,,
04-10-20,SEX,Male,2267,0.466269,,
04-10-20,SEX,Pending,81,0.016660,,
04-11-20,RACE,White,2305,0.450724,,
04-11-20,RACE,Black or African American,801,0.156629,,
04-11-20,RACE,Other/Multiracial,224,0.043801,,
04-11-20,RACE,Asian,61,0.011928,,
04-11-20,RACE,Pending,1723,0.336918,,
04-11-20,ETHNICITY,Not Hispanic or Latino,2940,0.574892,,
04-11-20,ETHNICITY,Hispanic,225,0.043997,,
04-11-20,ETHNICITY,Pending,1949,0.381111,,
04-11-20,SEX,Female,2651,0.518381,,
04-11-20,SEX,Male,2372,0.463825,,
04-11-20,SEX,Pending,91,0.017794,,
04-12-20,RACE,White,2504,0.454199,,
04-12-20,RACE,Black or African American,922,0.167241,,
04-12-20,RACE,Other/Multiracial,266,0.048250,,
04-12-20,RACE,Asian,73,0.013241,,
04-12-20,RACE,Pending,1748,0.317069,,
04-12-20,ETHNICITY,Not Hispanic or Latino,3291,0.620008,,
04-12-20,ETHNICITY,Hispanic,269,0.050678,,
04-12-20,ETHNICITY,Pending,1748,0.329314,,
04-12-20,SEX,Female,2740,0.516202,,
04-12-20,SEX,Male,2464,0.464205,,
04-12-20,SEX,Pending,104,0.019593,,
04-13-20,RACE,White,2504,0.446346,,
04-13-20,RACE,Black or African American,919,0.163815,,
04-13-20,RACE,Other/Multiracial,266,0.047415,,
04-13-20,RACE,Asian,73,0.013012,,
04-13-20,RACE,Pending,1848,0.329412,,
04-13-20,ETHNICITY,Not Hispanic or Latino,3453,0.615508,,
04-13-20,ETHNICITY,Hispanic,283,0.050446,,
04-13-20,ETHNICITY,Pending,1874,0.334046,,
04-13-20,SEX,Female,2885,0.51426,,
04-13-20,SEX,Male,2589,0.461497,,
04-13-20,SEX,Pending,136,0.024242,,
04-14-20,RACE,White,2861,0.491327,,
04-14-20,RACE,Black or African American,1143,0.196291,,
04-14-20,RACE,Other/Multiracial,358,0.061480,,
04-14-20,RACE,Asian,83,0.014254,,
04-14-20,RACE,Pending,1378,0.236648,,
04-14-20,ETHNICITY,Not Hispanic or Latino,3695,0.634553,,
04-14-20,ETHNICITY,Hispanic,312,0.053581,,
04-14-20,ETHNICITY,Pending,1816,0.311867,,
04-14-20,SEX,Female,2993,0.513996,,
04-14-20,SEX,Male,2703,0.464194,,
04-14-20,SEX,Pending,127,0.02181,,
04-15-20,RACE,White,2972,0.488896,,
04-15-20,RACE,Black or African American,1218,0.200362,,
04-15-20,RACE,Other/Multiracial,350,0.057575,,
04-15-20,RACE,Asian,88,0.014476,,
04-15-20,RACE,Pending,1451,0.238691,,
04-15-20,ETHNICITY,Not Hispanic or Latino,3873,0.637111,,
04-15-20,ETHNICITY,Hispanic,346,0.056917,,
04-15-20,ETHNICITY,Pending,1860,0.305971,,
