NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch
470333001977,TN-00670-0065,4703330,TN-00670,PK,4,A H Roberts Elementary,Overton County,Overton County,301 Zachary ST,Livingston,TN,38570,,(931)823-5551,33,Town: Remote,No,No,Yes,Yes,370,27.8,13.3,,
470222000076,TN-00470-0066,4702220,TN-00470,PK,5,A L Lotts Elementary,Knox County,Knox County,9320 Westland DR,Knoxville,TN,37922,,(865)539-8611,21,Suburb: Large,No,No,,,971,54.4,17.8,,
470014801011,TN-00792-2005,4700148,TN-00792,PK,5,A. B. Hill Elementary,Shelby County,Shelby County,345 East Olive AVE,Memphis,TN,38106,,(901)416-7844,11,City: Large,No,No,Yes,Yes,300,26.3,11.4,,
470014801939,TN-00792-2740,4700148,TN-00792,6,8,A. Maceo Walker Middle,Shelby County,Shelby County,1900 East Raines RD,Memphis,TN,38116,,(901)416-1030,11,City: Large,No,No,Yes,Yes,740,35.8,20.7,,
470318002116,TN-00190-0001,4703180,TN-00190,PK,4,A. Z. Kelley Elementary,Davidson County,Davidson County,5834 Pettus RD,Antioch,TN,37013,,(615)941-7535,11,City: Large,No,No,Yes,Yes,835,58,14.4,,
470219000710,TN-00822-0030,4702190,TN-00822,PK,5,Abraham Lincoln Elementary School,Kingsport,Sullivan County,1000 Summer ST,Kingsport,TN,37664,,(423)378-2360,13,City: Small,No,No,Yes,Yes,434,30.3,14.3,,
470288000997,TN-00550-0005,4702880,TN-00550,PK,8,Adamsville Elementary,McNairy County,McNairy County,P. O. Box 335,Adamsville,TN,38310,,(731)439-4137,42,Rural: Distant,No,No,Yes,Yes,530,37,14.3,,
470288000998,TN-00550-0010,4702880,TN-00550,9,12,Adamsville High School,McNairy County,McNairy County,P. O. Box 407,Adamsville,TN,38310,,(731)439-4122,42,Rural: Distant,No,No,,,716,48,14.9,,
470222000717,TN-00470-0003,4702220,TN-00470,PK,5,Adrian Burnett Elementary,Knox County,Knox County,4521 Brown Gap RD,Knoxville,TN,37918,,(865)689-1474,21,Suburb: Large,No,No,Yes,Yes,528,38,13.9,,
470003000001,TN-00171-0005,4700030,TN-00171,PK,6,Alamo Elementary,Alamo,Crockett County,265 E Park ST,Alamo,TN,38001,,(731)696-5515,32,Town: Distant,No,No,Yes,Yes,642,41,15.7,,
470006000234,TN-00051-0005,4700060,TN-00051,PK,2,Alcoa Elementary,Alcoa,Blount County,1200 Springbrook RD,Alcoa,TN,37701,,(865)982-3120,21,Suburb: Large,No,No,Yes,Yes,489,31.9,15.3,,
