district_id,district_name,region_id,region_name
10,Anderson County,5,East Tennessee CORE Region
11,Clinton,5,East Tennessee CORE Region
12,Oak Ridge,5,East Tennessee CORE Region
20,Bedford County,8,South Central CORE Region
30,Benton County,1,Northwest Tennessee CORE Region
40,Bledsoe County,4,Upper Cumberland CORE Region
50,Blount County,5,East Tennessee CORE Region
51,Alcoa,5,East Tennessee CORE Region
52,Maryville,5,East Tennessee CORE Region
60,Bradley County,7,Southeast Tennessee CORE Region
61,Cleveland,7,Southeast Tennessee CORE Region
70,Campbell County,5,East Tennessee CORE Region
80,Cannon County,4,Upper Cumberland CORE Region
90,Carroll County,1,Northwest Tennessee CORE Region
92,Hollow Rock - Bruceton,1,Northwest Tennessee CORE Region
93,Huntingdon Special School District,1,Northwest Tennessee CORE Region
94,McKenzie,1,Northwest Tennessee CORE Region
95,South Carroll,1,Northwest Tennessee CORE Region
97,West Carroll Sp Dist,1,Northwest Tennessee CORE Region
100,Carter County,6,First Tennessee CORE Region
101,Elizabethton,6,First Tennessee CORE Region
110,Cheatham County,3,Mid Cumberland CORE Region
120,Chester County,9,Southwest CORE Region
130,Claiborne County,5,East Tennessee CORE Region
140,Clay County,4,Upper Cumberland CORE Region
150,Cocke County,6,First Tennessee CORE Region
151,Newport,6,First Tennessee CORE Region
160,Coffee County,8,South Central CORE Region
161,Manchester,8,South Central CORE Region
162,Tullahoma,8,South Central CORE Region
170,Crockett County,1,Northwest Tennessee CORE Region
171,Alamo,1,Northwest Tennessee CORE Region
172,Bells,1,Northwest Tennessee CORE Region
180,Cumberland County,4,Upper Cumberland CORE Region
190,Davidson County,3,Mid Cumberland CORE Region
200,Decatur County,9,Southwest CORE Region
210,DeKalb County,4,Upper Cumberland CORE Region
220,Dickson County,3,Mid Cumberland CORE Region
230,Dyer County,1,Northwest Tennessee CORE Region
231,Dyersburg,1,Northwest Tennessee CORE Region
240,Fayette County Public Schools,9,Southwest CORE Region
250,Fentress County,4,Upper Cumberland CORE Region
260,Franklin County,8,South Central CORE Region
271,Humboldt City Schools,1,Northwest Tennessee CORE Region
272,Milan,1,Northwest Tennessee CORE Region
273,Trenton,1,Northwest Tennessee CORE Region
274,Bradford,1,Northwest Tennessee CORE Region
275,Gibson Co Sp Dist,1,Northwest Tennessee CORE Region
