district_id,district_name,region_id,region_name,student_cases,staff_cases,date_stamp
10,Anderson County,5,East Tennessee CORE Region,,,2022-12-14
11,Clinton,5,East Tennessee CORE Region,,,2022-12-14
12,Oak Ridge,5,East Tennessee CORE Region,,,2022-12-14
20,Bedford County,8,South Central CORE Region,,,2022-12-14
30,Benton County,1,Northwest Tennessee CORE Region,,,2022-12-14
40,Bledsoe County,4,Upper Cumberland CORE Region,,,2022-12-14
50,Blount County,5,East Tennessee CORE Region,,,2022-12-14
51,Alcoa,5,East Tennessee CORE Region,,,2022-12-14
52,Maryville,5,East Tennessee CORE Region,,,2022-12-14
60,Bradley County,7,Southeast Tennessee CORE Region,,,2022-12-14
61,Cleveland,7,Southeast Tennessee CORE Region,,,2022-12-14
70,Campbell County,5,East Tennessee CORE Region,,,2022-12-14
80,Cannon County,4,Upper Cumberland CORE Region,,,2022-12-14
90,Carroll County,1,Northwest Tennessee CORE Region,,,2022-12-14
92,Hollow Rock - Bruceton,1,Northwest Tennessee CORE Region,,,2022-12-14
93,Huntingdon Special School District,1,Northwest Tennessee CORE Region,,,2022-12-14
94,McKenzie,1,Northwest Tennessee CORE Region,,,2022-12-14
95,South Carroll,1,Northwest Tennessee CORE Region,,,2022-12-14
97,West Carroll Sp Dist,1,Northwest Tennessee CORE Region,,,2022-12-14
100,Carter County,6,First Tennessee CORE Region,,,2022-12-14
101,Elizabethton,6,First Tennessee CORE Region,,,2022-12-14
110,Cheatham County,3,Mid Cumberland CORE Region,,,2022-12-14
120,Chester County,9,Southwest CORE Region,,,2022-12-14
130,Claiborne County,5,East Tennessee CORE Region,,,2022-12-14
140,Clay County,4,Upper Cumberland CORE Region,,,2022-12-14
150,Cocke County,6,First Tennessee CORE Region,,,2022-12-14
151,Newport,6,First Tennessee CORE Region,,,2022-12-14
160,Coffee County,8,South Central CORE Region,,,2022-12-14
161,Manchester,8,South Central CORE Region,,,2022-12-14
162,Tullahoma,8,South Central CORE Region,,,2022-12-14
170,Crockett County,1,Northwest Tennessee CORE Region,,,2022-12-14
171,Alamo,1,Northwest Tennessee CORE Region,,,2022-12-14
172,Bells,1,Northwest Tennessee CORE Region,,,2022-12-14
180,Cumberland County,4,Upper Cumberland CORE Region,,,2022-12-14
190,Davidson County,3,Mid Cumberland CORE Region,,,2022-12-14
200,Decatur County,9,Southwest CORE Region,,,2022-12-14
210,DeKalb County,4,Upper Cumberland CORE Region,,,2022-12-14
220,Dickson County,3,Mid Cumberland CORE Region,,,2022-12-14
230,Dyer County,1,Northwest Tennessee CORE Region,,,2022-12-14
231,Dyersburg,1,Northwest Tennessee CORE Region,,,2022-12-14
240,Fayette County Public Schools,9,Southwest CORE Region,,,2022-12-14
250,Fentress County,4,Upper Cumberland CORE Region,,,2022-12-14
260,Franklin County,8,South Central CORE Region,,,2022-12-14
271,Humboldt City Schools,1,Northwest Tennessee CORE Region,,,2022-12-14
272,Milan,1,Northwest Tennessee CORE Region,,,2022-12-14
273,Trenton,1,Northwest Tennessee CORE Region,,,2022-12-14
274,Bradford,1,Northwest Tennessee CORE Region,,,2022-12-14
275,Gibson Co Sp Dist,1,Northwest Tennessee CORE Region,,,2022-12-14
280,Giles County,8,South Central CORE Region,,,2022-12-14
290,Grainger County,5,East Tennessee CORE Region,,,2022-12-14
300,Greene County,6,First Tennessee CORE Region,,,2022-12-14
301,Greeneville,6,First Tennessee CORE Region,,,2022-12-14
310,Grundy County,7,Southeast Tennessee CORE Region,,,2022-12-14
320,Hamblen County,6,First Tennessee CORE Region,,,2022-12-14
330,Hamilton County,7,Southeast Tennessee CORE Region,,,2022-12-14
340,Hancock County,6,First Tennessee CORE Region,,,2022-12-14
350,Hardeman County Schools,9,Southwest CORE Region,,,2022-12-14
360,Hardin County,9,Southwest CORE Region,,,2022-12-14
370,Hawkins County,6,First Tennessee CORE Region,,,2022-12-14
371,Rogersville,6,First Tennessee CORE Region,,,2022-12-14
380,Haywood County,9,Southwest CORE Region,,,2022-12-14
390,Henderson County,9,Southwest CORE Region,,,2022-12-14
391,Lexington,9,Southwest CORE Region,,,2022-12-14
400,Henry County,1,Northwest Tennessee CORE Region,,,2022-12-14
401,Paris,1,Northwest Tennessee CORE Region,,,2022-12-14
410,Hickman County,8,South Central CORE Region,,,2022-12-14
420,Houston County,3,Mid Cumberland CORE Region,,,2022-12-14
430,Humphreys County,3,Mid Cumberland CORE Region,,,2022-12-14
440,Jackson County,4,Upper Cumberland CORE Region,,,2022-12-14
450,Jefferson County,5,East Tennessee CORE Region,,,2022-12-14
460,Johnson County,6,First Tennessee CORE Region,,,2022-12-14
470,Knox County,5,East Tennessee CORE Region,,,2022-12-14
480,Lake County,1,Northwest Tennessee CORE Region,,,2022-12-14
490,Lauderdale County,9,Southwest CORE Region,,,2022-12-14
500,Lawrence County,8,South Central CORE Region,,,2022-12-14
510,Lewis County,8,South Central CORE Region,,,2022-12-14
520,Lincoln County,8,South Central CORE Region,,,2022-12-14
521,Fayetteville,8,South Central CORE Region,,,2022-12-14
530,Loudon County,5,East Tennessee CORE Region,,,2022-12-14
531,Lenoir City,5,East Tennessee CORE Region,,,2022-12-14
540,McMinn County,7,Southeast Tennessee CORE Region,,,2022-12-14
541,Athens,7,Southeast Tennessee CORE Region,,,2022-12-14
542,Etowah,7,Southeast Tennessee CORE Region,,,2022-12-14
550,McNairy County,9,Southwest CORE Region,,,2022-12-14
560,Macon County,4,Upper Cumberland CORE Region,,,2022-12-14
570,Madison County,9,Southwest CORE Region,,,2022-12-14
580,Marion County,7,Southeast Tennessee CORE Region,,,2022-12-14
581,Richard City,7,Southeast Tennessee CORE Region,,,2022-12-14
590,Marshall County,8,South Central CORE Region,,,2022-12-14
600,Maury County,8,South Central CORE Region,,,2022-12-14
610,Meigs County,7,Southeast Tennessee CORE Region,,,2022-12-14
620,Monroe County,5,East Tennessee CORE Region,,,2022-12-14
621,Sweetwater,5,East Tennessee CORE Region,,,2022-12-14
630,Montgomery County,3,Mid Cumberland CORE Region,,,2022-12-14
640,Moore County,8,South Central CORE Region,,,2022-12-14
650,Morgan County,5,East Tennessee CORE Region,,,2022-12-14
660,Obion County,1,Northwest Tennessee CORE Region,,,2022-12-14
661,Union City,1,Northwest Tennessee CORE Region,,,2022-12-14
670,Overton County,4,Upper Cumberland CORE Region,,,2022-12-14
680,Perry County,8,South Central CORE Region,,,2022-12-14
690,Pickett County,4,Upper Cumberland CORE Region,,,2022-12-14
700,Polk County,7,Southeast Tennessee CORE Region,,,2022-12-14
710,Putnam County,4,Upper Cumberland CORE Region,,,2022-12-14
720,Rhea County,7,Southeast Tennessee CORE Region,,,2022-12-14
721,Dayton,7,Southeast Tennessee CORE Region,,,2022-12-14
730,Roane County,5,East Tennessee CORE Region,,,2022-12-14
740,Robertson County,3,Mid Cumberland CORE Region,,,2022-12-14
750,Rutherford County,3,Mid Cumberland CORE Region,,,2022-12-14
751,Murfreesboro,3,Mid Cumberland CORE Region,,,2022-12-14
760,Scott County,5,East Tennessee CORE Region,,,2022-12-14
761,Oneida,5,East Tennessee CORE Region,,,2022-12-14
