hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
ac97da2a3705756521d2ad109926d4e477195879,2020-08-21,2020-08-21 00:00:00,AK,02,5403,71,316132,8817,,1601,30,1,,0,46,,,6,,321535,8888
7d05c9893cc3fff06668cf52e6806a369e1f5b63,2020-08-21,2020-08-21 11:00:00,AL,01,112770,321,784330,0,,44684,1990,16,13330,0,1168,,1348,,734,897100,321
95be4b99522466d3dd6b1045b544cd190c7e6e06,2020-08-21,2020-08-21 14:56:00,AR,05,55652,887,602939,9195,,49135,663,22,3856,66,509,,,120,499,658591,10082
ff5ed9b9a63e22b90be5cda6c0101578ae5b8fbe,2020-08-21,2020-08-15 00:00:00,AS,60,0,0,1514,0,,,0,0,,0,,,,,,1514,0
ae9aeb72f39e0b417a6a845dea6179dffa0a277e,2020-08-21,2020-08-21 00:00:00,AZ,04,196899,619,931089,8926,,28731,4688,4,21210,67,1068,365,,234,,1127988,9545
2cfb2a2be93fafb01559d32f3f621a0403db841e,2020-08-21,2020-08-21 00:00:00,CA,06,650336,5585,9679036,95821,,,11821,135,,0,6039,1706,,,,10329372,101406
9c7556d3810c3f0463aa222085e07d8821f276e5,2020-08-21,2020-08-20 01:59:00,CO,08,54230,329,594857,0,,5759,1815,15,6797,13,238,,,,,906693,11486
c3e5e8c9a17c1a49bdad22441f8f1863afcebd14,2020-08-21,2020-08-20 20:30:00,CT,09,51519,87,970851,7443,,8893,4460,2,11087,0,54,,,,,1022370,7530
0f157951ae94329fac7399110e032dca0074f77a,2020-08-21,2020-08-20 00:00:00,DC,11,13469,60,245589,5013,,10772,602,1,,0,78,27,,12,,259058,5073
3076739f0a2e5bd7f7439ddd942bdb2ce864a157,2020-08-21,2020-08-20 18:00:00,DE,10,16770,52,201238,1000,,8839,600,5,,0,37,10,,,,218008,1052
b328f4aae2d29d20613bc96652a268b6c787d235,2020-08-21,2020-08-20 23:59:00,FL,12,593286,4684,3773926,26776,3564,,10304,118,36425,355,4902,,,,,4367212,31460
f5faff9e7b38732ad52e5f23002fc1f36e5d8086,2020-08-21,2020-08-21 14:50:00,GA,13,249630,2889,1870472,20378,,,4998,94,23125,245,2408,,4218,,,2120102,23267
0e8edcdb1218f51a4114c525291c1ec5e5be1cb7,2020-08-21,2020-08-21 08:15:00,GU,66,767,63,30749,761,,394,7,1,,0,14,3,,,,31516,824
b22113f2e370e32c29d1f24d310f8e6d9fe38cdf,2020-08-21,2020-08-20 23:24:00,HI,15,5844,0,162828,0,,2031,45,0,317,0,165,29,,19,,168672,0
2dd992811e2d4d2c4bf82a41f9a84d568e14ab58,2020-08-21,2020-08-21 00:00:00,IA,19,55006,991,518133,3957,,42912,1021,7,,0,293,81,,32,,573139,4948
c904ad5809d00d8ad450c69e46a64485dd4a8484,2020-08-21,2020-08-20 19:00:00,ID,16,29120,424,204660,2209,,12007,298,7,1226,26,205,43,340,,,233780,2633
bcb1badcb10008f41d9b8593b43d65a6eec389eb,2020-08-21,2020-08-21 00:00:00,IL,17,217346,2293,3376990,49528,,,8066,22,,0,1526,351,,121,,3594336,51821
7dbc193a7d39096a1dbd4efe7122138075bd48ba,2020-08-21,2020-08-20 23:59:00,IN,18,84317,1040,874115,11921,,64131,3208,17,10132,-13,860,252,2051,81,,958432,12961
01e90eed0adb832535d795c8b80b0207a834e86e,2020-08-21,2020-08-21 10:00:00,KS,20,36856,966,329459,5509,,1520,419,8,2159,69,296,89,584,24,203,366315,6475
11c9f92b7a1e9bc203a25d9d921c9fc903c9856b,2020-08-21,2020-08-21 00:00:00,KY,21,42265,639,706202,8110,,9448,864,8,4362,13,590,166,1340,,,748467,8749
8fd63a1e255e9d0cc899da169a27fa1f45fd1bae,2020-08-21,2020-08-21 13:00:00,LA,22,141720,899,1597087,18874,,118120,4687,50,,0,1051,,,172,,1738807,19773
8d9c5adf26a5fbc47c761aa0e7eeb6b599c31ef0,2020-08-21,2020-08-21 10:00:00,MA,25,125216,488,1420121,26327,,102205,8901,13,12245,20,322,66,,15,,1545337,26815
a808f1922763c98f07b023cd355dac76e0c7a339,2020-08-21,2020-08-21 10:00:00,MD,24,102899,670,1101368,15921,,6047,3674,5,13823,38,455,102,,,,1204267,16591
feb5b3dced472bf337d17df767b10ca1629e1c09,2020-08-21,2020-08-20 23:59:00,ME,23,4285,32,219580,3648,,3698,129,1,407,2,7,1,,1,,223865,3680
bd2d1332e9b835f8ff18fc101b4a2bbc3a357180,2020-08-21,2020-08-20 00:00:00,MI,26,104618,0,2321084,0,,67778,6634,0,,0,646,173,,95,,2425702,0
37f3324ea659c190d7e658e45ee94f3bf692e67e,2020-08-21,2020-08-20 17:00:00,MN,27,68133,825,973404,10619,,60920,1799,8,6064,45,296,136,1740,,,1041537,11444
486090108ebc716c9852c735d2713a039b73b09c,2020-08-21,2020-08-21 00:00:00,MO,29,72964,1231,823142,9001,,,1419,2,,0,875,,,114,,896106,10232
a3cb7c9f92ecb3cbd296e46ab5bbe4aa6a1a01cf,2020-08-21,2020-08-17 19:35:00,MP,69,54,0,12867,0,,29,2,0,4,0,,,,,,12921,0
752303ef5c0b68a3aa843bdb4ab3fb32045529be,2020-08-21,2020-08-20 19:00:00,MS,28,76323,874,453479,1302,,56577,2214,24,5127,30,997,264,,152,,529802,2176
112ab0fa53cf7600fb96b48e4fb40e85492e21f3,2020-08-21,2020-08-21 00:00:00,MT,30,6216,144,202411,923,,4798,89,0,363,6,97,,,,,208627,1067
1935a6442fab621dbc15c15e7ecf31571c191562,2020-08-21,2020-08-21 11:30:00,NC,37,151912,2008,1878973,25570,,127749,2494,29,,0,1015,284,,,,2030885,27578
988c1f3244f6d4fd8e81adb7999073c281c827f7,2020-08-21,2020-08-21 00:00:00,ND,38,9474,232,177538,1993,,7841,112,0,491,13,54,15,139,,,187012,2225
c0e21078147856034544f408c7fcaef43e5d40de,2020-08-21,2020-08-20 20:20:00,NE,31,31348,308,302419,3051,,23292,373,2,1877,26,146,,,,,333767,3359
717ff6bec5147347b228b72adf629655152a52e8,2020-08-21,2020-08-20 09:00:00,NH,33,7050,0,182632,0,,6367,428,0,710,0,11,,220,,,189682,0
f236bd4bb8073cecc60809487d991fe9d45ecf0a,2020-08-21,2020-08-21 00:00:00,NJ,34,188817,290,2426875,30195,,33533,15941,9,22393,34,414,61,,30,,2615692,30485
0d8bd8f268828b8a5177457a37bf236f8c98e9f2,2020-08-21,2020-08-20 17:51:00,NM,35,23951,202,670873,6127,,11145,734,5,3009,7,74,,,,,694824,6329
5e532faa60660fdd2b7dd0976e05bf7497fae5a1,2020-08-21,2020-08-21 02:59:00,NV,32,64433,849,501878,4499,,1599,1185,13,,0,807,246,,140,,566311,5348
4f6c510eaa3101cf11cf3fb4348323c304558b4b,2020-08-21,2020-08-20 23:59:00,NY,36,428512,709,7023755,98171,,74485,25278,3,89995,0,490,119,,58,,7452267,98880
8c136bdadb335b924cd9da669bfe5087723577ac,2020-08-21,2020-08-21 14:00:00,OH,39,113046,1043,1823849,24493,,92736,3955,26,12719,104,849,283,2864,156,,1936895,25536
fc8fe8fa08fbde0d44e1714793dfaf6869780d61,2020-08-21,2020-08-21 00:00:00,OK,40,51746,1077,749156,8931,,43417,715,6,4316,48,562,246,,,,800902,10008
8e74e370333cbbd83a57a0763da4e37a95604a42,2020-08-21,2020-08-21 03:01:00,OR,41,24421,256,486900,4698,,4566,414,2,1984,5,173,47,,19,,511321,4954
9b19f892e211a5ea490427a979919c16dcc5b7e2,2020-08-21,2020-08-21 00:00:00,PA,42,127633,693,1399509,13438,,102106,7558,20,,0,510,,,93,,1527142,14131
d976339e5713242353de58a71ed40e1e228899a8,2020-08-21,2020-08-21 00:00:00,PR,72,28846,703,305972,0,,,374,7,,0,392,65,,42,,334818,703
75f1833ee7bf894e24815d18343161da07dd2bb1,2020-08-21,2020-08-21 12:00:00,RI,44,21022,151,224832,5940,,2031,1030,2,2438,7,81,9,,5,,454977,10403
f0954b357a91cf4bbd9d52d257549fea6bf7abc7,2020-08-21,2020-08-20 23:59:00,SC,45,110378,1058,792803,9323,,46118,2459,58,7439,293,1079,278,,160,,903181,10381
26e2cd2fba581d4fad9775712f92c0335e03e013,2020-08-21,2020-08-20 14:00:00,SD,46,10884,193,122891,1474,,9349,159,2,948,8,50,,,,,133775,1667
e350a6239c792a4d4e6161cc0d8578d9fd887bc6,2020-08-21,2020-08-21 15:00:00,TN,47,140844,1669,1840394,27466,,102686,1549,61,6255,99,1149,359,,171,,1981238,29135
296bafeaf3143e0633501478edc37e8347fb0b4b,2020-08-21,2020-08-21 16:30:00,TX,48,567580,5021,4012446,27936,,438825,11051,258,,0,5566,1979,,,,4580026,32957
17185cb51c32ac0bb6b378c9daec73d1e1d3f9b0,2020-08-21,2020-08-21 10:19:00,UT,49,48445,463,570952,3130,,39867,383,2,2870,17,155,58,737,,294,619397,3593
1737e4ebd49552e67016103c2baf14b46c52cb9a,2020-08-21,2020-08-20 17:00:00,VA,51,110860,978,1331101,18055,357,14249,2436,9,15482,125,1233,263,,142,,1441961,19033
4c2d1756f854eba3d8d2196abc24fbc6dea3899c,2020-08-21,2020-08-21 10:40:00,VI,78,932,63,12895,222,88,649,10,0,,0,,,,,,13827,285
31ff95c70376b2e06036bf4a25bef44633e4d49b,2020-08-21,2020-08-21 00:00:00,VT,50,1541,4,115457,1535,,1358,58,0,,0,10,,,,,116998,1539
3ab1c06c11af8133bf4bddd91ec23b624a987857,2020-08-21,2020-08-20 02:59:00,WA,53,69389,700,950107,0,,,1837,15,6400,12,374,,,48,,1019496,700
2d0ac6d67569d112eadbe4cf2448599bad8a7ce6,2020-08-21,2020-08-21 00:00:00,WI,55,73751,848,1103038,9744,190,60055,1075,1,5505,36,350,119,982,,,1176789,10592
4781e968013c04e1e79ad6c9b90034479b54619c,2020-08-21,2020-08-21 10:00:00,WV,54,9066,84,375253,6522,,7140,170,4,,0,146,54,,24,,384319,6606
c07bd4adce646934098fb9333823a595e2b0490d,2020-08-21,2020-08-21 17:22:00,WY,56,3524,56,61313,607,,2864,37,3,203,1,19,,,,,64837,663
c83a1d575a597788adccbe170950b8d197754b98,2020-08-20,2020-08-20 00:00:00,AK,02,5332,85,307315,1713,,1513,29,0,,0,51,,,6,,312647,1798
39ccb36041e82b18489850d81c9e513b0c429e56,2020-08-20,2020-08-20 11:00:00,AL,01,112449,971,784330,10462,,44684,1974,30,13330,250,1105,,1348,,734,896779,11433
e861294d4fb6d5b1a372068758446687f7d8b60b,2020-08-20,2020-08-20 15:08:00,AR,05,54765,549,593744,6680,,48458,641,10,3790,47,499,,,108,488,648509,7229
bacfc1ce963cee45d9610749a40cfc9b12c1a207,2020-08-20,2020-08-15 00:00:00,AS,60,0,0,1514,0,,,0,0,,0,,,,,,1514,0
da249402b0351067337a7c3390a9ec4fb9e793af,2020-08-20,2020-08-20 00:00:00,AZ,04,196280,723,922163,6481,,28471,4684,50,21143,123,1070,388,,233,,1118443,7204
6d74d9cdc8ce1265c3772543ff51d104c4da333c,2020-08-20,2020-08-20 00:00:00,CA,06,644751,5920,9583215,81363,,,11686,163,,0,6212,1707,,,,10227966,87283
42687189de740b31df097014eb72a1dc4189d753,2020-08-20,2020-08-19 01:59:00,CO,08,53901,270,594857,4657,,5759,1800,12,6784,3,238,,,,,895207,7348
845250045f6cd898214468962575e9f56566fdbc,2020-08-20,2020-08-19 20:30:00,CT,09,51432,118,963408,12302,,8893,4458,1,11087,72,47,,,,,1014840,12420
d4af07fb558274988180bdd7847d27caaa082561,2020-08-20,2020-08-19 00:00:00,DC,11,13409,55,240576,2271,,10720,601,1,,0,78,26,,12,,253985,2326
fdd3f8891c82210b8d3e06aa37a003f22a23d632,2020-08-20,2020-08-19 18:00:00,DE,10,16718,75,200238,2012,,8809,595,0,,0,40,10,,,,216956,2087
357456ee1da12ca96d9c883bca96d987dde7c1d8,2020-08-20,2020-08-19 23:59:00,FL,12,588602,4555,3747150,24958,3604,,10186,119,36070,450,5067,,,,,4335752,29513
4e00e8a0ef34c515bb2e0b15da5e438ee5a31d17,2020-08-20,2020-08-20 15:50:00,GA,13,246741,2759,1850094,18379,,,4904,55,22880,216,2506,,4185,,,2096835,21138
51b7ef3f036dd5f7976bc18e02162bc2455e45bd,2020-08-20,2020-08-20 05:35:00,GU,66,704,105,29988,837,,381,6,1,,0,13,5,,,,30692,942
bb0ebce6343c1ab1811990b587c6eb5cb756d1f9,2020-08-20,2020-08-19 23:29:00,HI,15,5844,235,162828,2324,,2031,45,3,317,14,187,33,,20,,168672,2559
0a78a600f264d387abb7994078291cfd639c28e1,2020-08-20,2020-08-20 00:00:00,IA,19,54015,727,514176,5142,,42372,1014,8,,0,300,89,,31,,568191,5869
cc7a42683746b4945186b0ce4d6c493e3dc9eca5,2020-08-20,2020-08-19 19:00:00,ID,16,28696,370,202451,1654,,11733,291,9,1200,30,205,43,337,,,231147,2024
0d5c4d8469bdfd074e829397622a7f13358ca2a0,2020-08-20,2020-08-20 00:00:00,IL,17,215053,1832,3327462,49780,,,8044,27,,0,1519,357,,124,,3542515,51612
183e12e8073abf06892a8cb0c7d3d07eb3c26468,2020-08-20,2020-08-19 23:59:00,IN,18,83277,941,862194,10497,,63262,3191,11,10145,55,921,257,2069,78,,945471,11438
50421cc054a64393a0ffdfd4056f9b49cf47409e,2020-08-20,2020-08-19 10:00:00,KS,20,35890,0,323950,0,,1472,411,0,2090,0,300,88,567,26,202,359840,0
7c2b057bd114e6314c0a82de9c9d4605cdd407d2,2020-08-20,2020-08-20 00:00:00,KY,21,41626,700,698092,8198,,9388,856,14,4349,48,638,155,1337,,,739718,8898
e47878b64c9603696407400b5c95696183cac9d9,2020-08-20,2020-08-20 13:00:00,LA,22,140821,918,1578213,13142,,118120,4637,28,,0,1087,,,178,,1719034,14060
c148ae5cead8431c41a467679339dad8abeed58d,2020-08-20,2020-08-20 10:00:00,MA,25,124728,313,1393794,21569,,102205,8888,12,12225,12,379,62,,23,,1518522,21882
33f330664a097d3f90f906e368590e84d8d531e3,2020-08-20,2020-08-20 10:00:00,MD,24,102229,580,1085447,11328,,6040,3669,8,13785,41,455,107,,,,1187676,11908
fd177d7b9caaaa224fd7d5e46d0f1d4d5ed58f96,2020-08-20,2020-08-19 23:59:00,ME,23,4253,19,215932,2924,,3679,128,1,405,2,7,1,,1,,220185,2943
f04ae37ad01bc42c12e7944a751e8f93c221a452,2020-08-20,2020-08-20 00:00:00,MI,26,104618,527,2321084,29987,,67778,6634,16,,0,646,173,,81,,2425702,30514
c00eb9bc1f1afc2ca831f9b73830f6157e0c452f,2020-08-20,2020-08-19 17:00:00,MN,27,67308,690,962785,8477,,60605,1791,7,6019,31,309,148,1734,,,1030093,9167
b91864c8715e59f73d53662a211c31dcd4f2f908,2020-08-20,2020-08-20 00:00:00,MO,29,71733,1058,814141,10021,,,1417,3,,0,875,,,114,,885874,11079
e2e847df5d2d12675b03389246e5d8ed38b87771,2020-08-20,2020-08-17 19:35:00,MP,69,54,0,12867,1,,29,2,0,4,0,,,,,,12921,1
dda01a457ead072c4c13904288d8e6109ca7c789,2020-08-20,2020-08-19 19:00:00,MS,28,75449,894,452177,0,,56577,2190,27,5097,34,1025,276,,176,,527626,894
2ca13e9c1597515dd9e1c5093bac6dda836c905e,2020-08-20,2020-08-20 00:00:00,MT,30,6072,116,201488,911,,4434,89,5,357,9,101,,,,,207560,1027
e066175456d7c93884c1a0c6e66789e8bbda20f0,2020-08-20,2020-08-20 12:10:00,NC,37,149904,1972,1853403,23241,,127749,2465,34,,0,1023,280,,,,2003307,25213
f65eaefd36db0bacaf273285299664bede45fa58,2020-08-20,2020-08-20 13:00:00,ND,38,9242,274,175545,1987,,7718,112,2,478,0,45,15,136,,,184787,2261
89541dc979931570f27730e6b4efa6f62b8522d3,2020-08-20,2020-08-19 20:20:00,NE,31,31040,215,299368,1815,,22941,371,3,1851,16,156,,,,,330408,2030
f26ed1004702470909240a653583f60013160361,2020-08-20,2020-08-20 09:00:00,NH,33,7050,14,182632,1659,,6367,428,1,710,-2,11,,220,,,189682,1673
7eb5387de38a183ebabcd4a3c09587d4cb7f2405,2020-08-20,2020-08-20 00:00:00,NJ,34,188527,100,2396680,27395,,33490,15932,6,22359,48,433,79,,28,,2585207,27495
48dc5c54b98f1d956a4ee33a72fd8c82dc2dbd28,2020-08-20,2020-08-19 17:51:00,NM,35,23749,170,664746,5272,,10976,729,6,3002,4,94,,,,,688495,5442
feb6664028d45dd27b3f9d8db3c05ddb4ad31fb3,2020-08-20,2020-08-20 02:59:00,NV,32,63584,556,497379,3881,,1567,1172,38,,0,874,263,,152,,560963,4437
fccbd29745b2aeb8f6c05572cdf6b360ad1fd804,2020-08-20,2020-08-19 23:59:00,NY,36,427803,601,6925584,80383,,74406,25275,5,89995,0,518,120,,62,,7353387,80984
db79a41caa02bd719b0056501bc32d6c24c83606,2020-08-20,2020-08-20 14:00:00,OH,39,112003,1122,1799356,21767,,91656,3929,22,12615,86,860,294,2844,169,,1911359,22889
