date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2021-07-03,AD,13918,127,13721,70
2021-07-03,AE,637877,1831,616197,19849
2021-07-03,AF,120216,4962,73635,41619
2021-07-03,AG,1264,42,1222,0
2021-07-03,AL,132534,2456,130023,55
2021-07-03,AM,225464,4521,217074,3869
2021-07-03,AO,39172,910,33514,4748
2021-07-03,AR,4526473,95594,4136824,294055
2021-07-03,AT,650662,10709,638167,1786
2021-07-03,AU,30753,910,23837,6006
2021-07-03,AZ,336318,4977,330380,961
2021-07-03,BA,205047,9667,183663,11717
2021-07-03,BB,4082,47,3999,36
2021-07-03,BD,936256,14912,829199,92145
2021-07-03,BE,1086508,25185,0,1061323
2021-07-03,BF,13494,168,13308,18
2021-07-03,BG,422034,18084,395289,8661
2021-07-03,BH,266286,1358,262552,2376
2021-07-03,BI,5494,8,773,4713
2021-07-03,BJ,8199,104,8000,95
2021-07-03,BN,262,3,250,9
2021-07-03,BO,444090,16920,366939,60231
2021-07-03,BR,18742025,523587,16524100,1694338
2021-07-03,BS,12735,246,11603,886
2021-07-03,BT,2133,1,1820,312
2021-07-03,BW,71443,1158,66323,3962
2021-07-03,BY,420406,3175,413292,3939
2021-07-03,BZ,13343,330,12684,329
2021-07-03,CA,1424117,26312,1391557,6248
2021-07-03,CD,41959,945,28482,12532
2021-07-03,CF,7141,98,6859,184
2021-07-03,CG,12695,166,11211,1318
2021-07-03,CH,703334,10894,317600,374840
2021-07-03,CI,48513,315,47917,281
2021-07-03,CL,1566461,32973,1509342,24146
2021-07-03,CM,80858,1324,35261,44273
2021-07-03,CN,103841,4847,98468,526
2021-07-03,CO,4324230,108314,4021254,194662
2021-07-03,CR,371206,4686,296096,70424
2021-07-03,CU,200728,1337,180887,18504
2021-07-03,CV,32705,287,31815,603
2021-07-03,CY,77445,374,39061,38010
2021-07-03,CZ,1667796,30310,1636004,1482
2021-07-03,DE,3738059,91040,3626610,20409
2021-07-03,DJ,11604,155,11445,4
2021-07-03,DK,295756,2538,289711,3507
2021-07-03,DM,194,0,191,3
2021-07-03,DO,328376,3852,268883,55641
2021-07-03,DZ,141007,3745,98031,39231
2021-07-03,EC,462142,21660,423688,16794
2021-07-03,EE,131161,1269,127536,2356
2021-07-03,EG,281903,16242,213628,52033
2021-07-03,ER,6074,25,5676,373
2021-07-03,ES,3833868,80911,150376,3602581
2021-07-03,ET,276368,4330,260949,11089
2021-07-03,FI,96372,973,46000,49399
2021-07-03,FJ,5639,27,1101,4511
2021-07-03,FM,1,0,1,0
2021-07-03,FR,5845622,111314,406019,5328289
2021-07-03,GA,25076,159,24784,133
2021-07-03,GB,4896272,128471,15762,4752039
2021-07-03,GD,161,1,160,0
2021-07-03,GE,369048,5347,353612,10089
2021-07-03,GH,96067,796,93669,1602
2021-07-03,GM,6079,181,5858,40
2021-07-03,GN,23807,172,22528,1107
2021-07-03,GQ,8759,122,8553,84
2021-07-03,GR,425347,12710,93764,318873
2021-07-03,GT,301189,9419,267900,23870
2021-07-03,GW,3881,69,3595,217
2021-07-03,GY,20305,478,18304,1523
2021-07-03,HN,266918,7081,92959,166878
2021-07-03,HR,360181,8215,351385,581
2021-07-03,HT,18658,436,12889,5333
2021-07-03,HU,808197,29992,739561,38644
2021-07-03,ID,2256851,60027,1915147,281677
2021-07-03,IE,273744,5000,23364,245380
2021-07-03,IL,842648,6429,833690,2529
2021-07-03,IN,30545433,402005,29658078,485350
2021-07-03,IQ,1365211,17281,1260297,87633
2021-07-03,IR,3241037,84627,2914830,241580
2021-07-03,IS,6555,29,6476,50
2021-07-03,IT,4262511,127637,4089298,45576
2021-07-03,JM,50242,1082,30270,18890
2021-07-03,JO,752617,9769,736431,6417
2021-07-03,JP,805696,14788,771628,19280
2021-07-03,KE,185591,3671,126956,54964
2021-07-03,KG,129232,2027,111934,15271
2021-07-03,KH,53298,696,46123,6479
2021-07-03,KI,2,0,0,2
2021-07-03,KM,3957,146,3766,45
2021-07-03,KN,490,3,230,257
2021-07-03,KR,160084,2026,149614,8444
2021-07-03,KW,362018,2005,341477,18536
2021-07-03,KZ,491277,3544,453409,34324
2021-07-03,LA,2213,3,2019,191
2021-07-03,LB,545363,7859,533150,4354
2021-07-03,LC,5302,84,5124,94
2021-07-03,LI,3042,59,2964,19
2021-07-03,LK,264057,3191,231394,29472
2021-07-03,LR,4520,133,2411,1976
2021-07-03,LS,11568,329,6492,4747
2021-07-03,LT,278863,4389,267903,6571
2021-07-03,LU,71031,818,69750,463
2021-07-03,LV,137600,2526,134243,831
2021-07-03,LY,194323,3205,178871,12247
2021-07-03,MA,533945,9315,519139,5491
2021-07-03,MC,2587,33,2533,21
2021-07-03,MD,256931,6195,249888,848
2021-07-03,ME,100316,1614,98403,299
2021-07-03,MG,42288,921,40709,658
2021-07-03,MH,4,0,4,0
2021-07-03,MK,155706,5486,150067,153
2021-07-03,ML,14438,526,10079,3833
2021-07-03,MM,163087,3384,138026,21677
2021-07-03,MN,125260,617,82933,41710
2021-07-03,MR,21027,489,19883,655
2021-07-03,MT,30640,420,30164,56
2021-07-03,MU,1858,18,1534,306
2021-07-03,MV,74224,213,70723,3288
2021-07-03,MW,36820,1205,33298,2317
2021-07-03,MX,2537457,233580,2010754,293123
2021-07-03,MY,772607,5434,700215,66958
2021-07-03,MZ,79213,897,71628,6688
2021-07-03,NA,94047,1626,69672,22749
2021-07-03,NE,5498,194,5208,96
2021-07-03,NG,167803,2121,164378,1304
2021-07-03,NI,8178,191,4225,3762
2021-07-03,NL,1715655,18039,27388,1670228
2021-07-03,NO,131861,794,17998,113069
2021-07-03,NP,643580,9198,606666,27716
