date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,us_admin2_code,us_county_fips,cnt_confirmed,cnt_deaths,cnt_recovered
2022-11-25,US,60,60,AS,00060,00060,8262,34,0
2022-11-25,US,66,66,GU,00066,00066,59189,407,0
2022-11-25,US,69,69,MP,00069,00069,13212,41,0
2022-11-25,US,78,78,VI,00078,00078,23495,124,0
2022-11-25,US,01,01,AL,01000,,0,0,0
2022-11-25,US,01,01,AL,01001,01001,18612,230,0
2022-11-25,US,01,01,AL,01003,01003,66480,716,0
2022-11-25,US,01,01,AL,01005,01005,6968,103,0
2022-11-25,US,01,01,AL,01007,01007,7627,108,0
2022-11-25,US,01,01,AL,01009,01009,17460,258,0
2022-11-25,US,01,01,AL,01011,01011,2849,54,0
2022-11-25,US,01,01,AL,01013,01013,6077,130,0
2022-11-25,US,01,01,AL,01015,01015,38897,661,0
2022-11-25,US,01,01,AL,01017,01017,10109,169,0
2022-11-25,US,01,01,AL,01019,01019,6146,87,0
2022-11-25,US,01,01,AL,01021,01021,12488,214,0
2022-11-25,US,01,01,AL,01023,01023,2201,39,0
2022-11-25,US,01,01,AL,01025,01025,8080,106,0
2022-11-25,US,01,01,AL,01027,01027,4842,90,0
2022-11-25,US,01,01,AL,01029,01029,4188,71,0
2022-11-25,US,01,01,AL,01031,01031,16177,243,0
2022-11-25,US,01,01,AL,01033,01033,19801,272,0
2022-11-25,US,01,01,AL,01035,01035,3368,75,0
2022-11-25,US,01,01,AL,01037,01037,3535,62,0
2022-11-25,US,01,01,AL,01039,01039,11059,254,0
2022-11-25,US,01,01,AL,01041,01041,4419,108,0
2022-11-25,US,01,01,AL,01043,01043,29745,386,0
2022-11-25,US,01,01,AL,01045,01045,15602,244,0
2022-11-25,US,01,01,AL,01047,01047,10195,255,0
2022-11-25,US,01,01,AL,01049,01049,21485,343,0
2022-11-25,US,01,01,AL,01051,01051,28041,358,0
2022-11-25,US,01,01,AL,01053,01053,11701,178,0
2022-11-25,US,01,01,AL,01055,01055,32723,684,0
2022-11-25,US,01,01,AL,01057,01057,5632,98,0
2022-11-25,US,01,01,AL,01059,01059,11433,148,0
2022-11-25,US,01,01,AL,01061,01061,7522,171,0
2022-11-25,US,01,01,AL,01063,01063,2152,52,0
2022-11-25,US,01,01,AL,01065,01065,5421,109,0
2022-11-25,US,01,01,AL,01067,01067,5514,79,0
2022-11-25,US,01,01,AL,01069,01069,30632,526,0
2022-11-25,US,01,01,AL,01071,01071,17219,251,0
2022-11-25,US,01,01,AL,01073,01073,222433,2483,0
2022-11-25,US,01,01,AL,01075,01075,4514,69,0
2022-11-25,US,01,01,AL,01077,01077,28685,411,0
2022-11-25,US,01,01,AL,01079,01079,9001,175,0
2022-11-25,US,01,01,AL,01081,01081,44613,360,0
2022-11-25,US,01,01,AL,01083,01083,30186,308,0
2022-11-25,US,01,01,AL,01085,01085,3092,80,0
2022-11-25,US,01,01,AL,01087,01087,4842,90,0
2022-11-25,US,01,01,AL,01089,01089,109327,1034,0
2022-11-25,US,01,01,AL,01091,01091,5846,114,0
2022-11-25,US,01,01,AL,01093,01093,9506,156,0
2022-11-25,US,01,01,AL,01095,01095,31275,405,0
2022-11-25,US,01,01,AL,01097,01097,129077,1755,0
2022-11-25,US,01,01,AL,01099,01099,6230,85,0
2022-11-25,US,01,01,AL,01101,01101,67787,1000,0
2022-11-25,US,01,01,AL,01103,01103,43728,538,0
2022-11-25,US,01,01,AL,01105,01105,2518,49,0
2022-11-25,US,01,01,AL,01107,01107,6059,114,0
2022-11-25,US,01,01,AL,01109,01109,8820,141,0
2022-11-25,US,01,01,AL,01111,01111,6072,77,0
2022-11-25,US,01,01,AL,01113,01113,12144,98,0
2022-11-25,US,01,01,AL,01115,01115,30746,436,0
2022-11-25,US,01,01,AL,01117,01117,72693,473,0
2022-11-25,US,01,01,AL,01119,01119,3006,55,0
2022-11-25,US,01,01,AL,01121,01121,27025,391,0
2022-11-25,US,01,01,AL,01123,01123,13720,250,0
2022-11-25,US,01,01,AL,01125,01125,66642,831,0
2022-11-25,US,01,01,AL,01127,01127,22570,475,0
2022-11-25,US,01,01,AL,01129,01129,4190,60,0
