date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2022-02-15,US,01,01,AL,1265932,17656,0
2022-02-15,US,02,02,AK,233961,1114,0
2022-02-15,US,04,04,AZ,1953168,27181,0
2022-02-15,US,05,05,AR,809396,10141,0
2022-02-15,US,06,06,CA,8849745,83077,0
2022-02-15,US,08,08,CO,1295177,11650,0
2022-02-15,US,09,09,CT,715692,10320,0
2022-02-15,US,10,10,DE,253881,2645,0
2022-02-15,US,11,11,DC,133339,1309,0
2022-02-15,US,12,12,FL,5776333,67911,0
2022-02-15,US,13,13,GA,2443410,34335,0
2022-02-15,US,15,15,HI,232302,1262,0
2022-02-15,US,16,16,ID,406806,4615,0
2022-02-15,US,17,17,IL,3004664,34505,0
2022-02-15,US,18,18,IN,1669872,22251,0
2022-02-15,US,19,19,IA,741648,8829,0
2022-02-15,US,20,20,KS,758924,7852,0
2022-02-15,US,21,21,KY,1244139,13450,0
2022-02-15,US,22,22,LA,1153232,16258,0
2022-02-15,US,23,23,ME,198665,1849,0
2022-02-15,US,24,24,MD,971175,13939,0
2022-02-15,US,25,25,MA,1654513,22974,0
2022-02-15,US,26,26,MI,2331102,33518,0
2022-02-15,US,27,27,MN,1399164,12022,0
2022-02-15,US,28,28,MS,782689,11697,0
2022-02-15,US,29,29,MO,1388065,18511,0
2022-02-15,US,30,30,MT,258765,3083,0
2022-02-15,US,31,31,NE,451718,3830,0
2022-02-15,US,32,32,NV,675640,9420,0
2022-02-15,US,33,33,NH,291083,2316,0
2022-02-15,US,34,34,NJ,2147857,32483,0
2022-02-15,US,35,35,NM,504287,6711,0
2022-02-15,US,36,36,NY,4890903,66689,0
2022-02-15,US,37,37,NC,2543260,21835,0
2022-02-15,US,38,38,ND,235447,2212,0
2022-02-15,US,39,39,OH,2635769,35372,0
2022-02-15,US,40,40,OK,1009507,14079,0
2022-02-15,US,41,41,OR,680852,6393,0
2022-02-15,US,42,42,PA,2729277,42424,0
2022-02-15,US,44,44,RI,353048,3393,0
2022-02-15,US,45,45,SC,1443723,16243,0
2022-02-15,US,46,46,SD,233441,2742,0
2022-02-15,US,47,47,TN,1974677,23466,0
2022-02-15,US,48,48,TX,6537378,82606,0
2022-02-15,US,49,49,UT,914799,4326,0
2022-02-15,US,50,50,VT,109793,575,0
2022-02-15,US,51,51,VA,1613719,17779,0
2022-02-15,US,53,53,WA,1410658,11373,0
2022-02-15,US,54,54,WV,477935,6067,0
2022-02-15,US,55,55,WI,1559233,12969,0
2022-02-15,US,56,56,WY,153335,1689,0
2022-02-15,US,60,60,AS,18,0,0
2022-02-15,US,66,66,GU,40891,308,0
2022-02-15,US,69,69,MP,7587,24,0
2022-02-15,US,72,72,PR,469377,4047,0
2022-02-15,US,78,78,VI,15229,107,0
2022-02-15,US,DP,,,49,0,0
2022-02-15,US,GP,,,103,3,0
2022-02-15,US,RC,,,0,0,0
